 [antenna_conf.dat]

      NSEG      NWIR      NFED     NLOAD           FREQ0          RAMDA0            USEF
       378        27         1         0      3000000000      0.09993082      3000000000

Segment
   NO.           SX           SY           SZ             RX             RY             RZ           SEGL             RA     RAD_MODE
     0    0.7071068    0.7071068    0.0000000      -0.207212       0.000000       0.062500       0.021003       0.005000            1
     1    0.7071068    0.7071068    0.0000000      -0.192360       0.014851       0.062500       0.021003       0.005000            1
     2    0.7071068    0.7071068    0.0000000      -0.177509       0.029703       0.062500       0.021003       0.005000            1
     3    0.7071068    0.7071068    0.0000000      -0.162657       0.044554       0.062500       0.021003       0.005000            1
     4    0.7071068    0.7071068    0.0000000      -0.147806       0.059406       0.062500       0.021003       0.005000            1
     5    0.7071068    0.7071068    0.0000000      -0.132954       0.074257       0.062500       0.021003       0.005000            1
     6    0.7071068    0.7071068    0.0000000      -0.118103       0.089109       0.062500       0.021003       0.005000            1
     7    0.7071068    0.7071068    0.0000000      -0.103251       0.103960       0.062500       0.021003       0.005000            1
     8    1.0000000    0.0000000    0.0000000      -0.088400       0.118812       0.062500       0.022100       0.005000            1
     9    1.0000000    0.0000000    0.0000000      -0.088400       0.118812       0.062500       0.022100       0.005000            1
    10    1.0000000    0.0000000    0.0000000      -0.066300       0.118812       0.062500       0.022100       0.005000            1
    11    1.0000000    0.0000000    0.0000000      -0.044200       0.118812       0.062500       0.022100       0.005000            1
    12    1.0000000    0.0000000    0.0000000      -0.022100       0.118812       0.062500       0.022100       0.005000            1
    13    1.0000000    0.0000000    0.0000000       0.000000       0.118812       0.062500       0.022100       0.005000            1
    14    1.0000000    0.0000000    0.0000000       0.022100       0.118812       0.062500       0.022100       0.005000            1
    15    1.0000000    0.0000000    0.0000000       0.044200       0.118812       0.062500       0.022100       0.005000            1
    16    1.0000000    0.0000000    0.0000000       0.066300       0.118812       0.062500       0.022100       0.005000            1
    17    0.7071068   -0.7071068    0.0000000       0.088400       0.118812       0.062500       0.021003       0.005000            1
    18    0.7071068   -0.7071068    0.0000000       0.088400       0.118812       0.062500       0.021003       0.005000            1
    19    0.7071068   -0.7071068    0.0000000       0.103251       0.103960       0.062500       0.021003       0.005000            1
    20    0.7071068   -0.7071068    0.0000000       0.118103       0.089109       0.062500       0.021003       0.005000            1
    21    0.7071068   -0.7071068    0.0000000       0.132954       0.074257       0.062500       0.021003       0.005000            1
    22    0.7071068   -0.7071068    0.0000000       0.147806       0.059406       0.062500       0.021003       0.005000            1
    23    0.7071068   -0.7071068    0.0000000       0.162657       0.044554       0.062500       0.021003       0.005000            1
    24    0.7071068   -0.7071068    0.0000000       0.177509       0.029703       0.062500       0.021003       0.005000            1
    25    0.7071068   -0.7071068    0.0000000       0.192360       0.014851       0.062500       0.021003       0.005000            1
    26   -0.7071068   -0.7071068    0.0000000       0.207212       0.000000       0.062500       0.021003       0.005000            1
    27   -0.7071068   -0.7071068    0.0000000       0.207212      -0.000000       0.062500       0.021003       0.005000            1
    28   -0.7071068   -0.7071068    0.0000000       0.192360      -0.014851       0.062500       0.021003       0.005000            1
    29   -0.7071068   -0.7071068    0.0000000       0.177509      -0.029703       0.062500       0.021003       0.005000            1
    30   -0.7071068   -0.7071068    0.0000000       0.162657      -0.044554       0.062500       0.021003       0.005000            1
    31   -0.7071068   -0.7071068    0.0000000       0.147806      -0.059406       0.062500       0.021003       0.005000            1
    32   -0.7071068   -0.7071068    0.0000000       0.132954      -0.074257       0.062500       0.021003       0.005000            1
    33   -0.7071068   -0.7071068    0.0000000       0.118103      -0.089109       0.062500       0.021003       0.005000            1
    34   -0.7071068   -0.7071068    0.0000000       0.103251      -0.103960       0.062500       0.021003       0.005000            1
    35   -1.0000000   -0.0000000    0.0000000       0.088400      -0.118812       0.062500       0.022100       0.005000            1
