 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00500975   0.00300729   0.00584307       149.02
     2  -0.00541656   0.00313939   0.00626058       149.90
     3  -0.00577832   0.00322289   0.00661635       150.85
     4  -0.00607500   0.00325639   0.00689272       151.81
     5  -0.00629790   0.00324612   0.00708526       152.73
     6  -0.00644407   0.00320281   0.00719611       153.57
     7  -0.00649457   0.00312974   0.00720935       154.27
     8  -0.00656748   0.00312407   0.00727266       154.56
     9  -0.00398592   0.00573989   0.00698812       124.78
    10  -0.00403095   0.00569839   0.00697999       125.27
    11  -0.00396045   0.00553136   0.00680302       125.60
    12  -0.00374981   0.00522114   0.00642818       125.69
    13  -0.00334164   0.00472501   0.00578725       125.27
    14  -0.00263432   0.00396723   0.00476220       123.58
    15  -0.00116618   0.00260844   0.00285725       114.09
    16   0.00079027   0.00095991   0.00124336        50.54
    17   0.00112930   0.00063241   0.00129431        29.25
    18   0.00144819   0.00032155   0.00148346        12.52
    19   0.00174091   0.00000116   0.00174091         0.04
    20   0.00199664  -0.00031337   0.00202108        -8.92
    21   0.00219665  -0.00060870   0.00227943       -15.49
    22   0.00234047  -0.00088059   0.00250065       -20.62
    23   0.00242964  -0.00112176   0.00267610       -24.78
    24   0.00246839  -0.00134596   0.00281150       -28.60
    25   0.00244032  -0.00152651   0.00287844       -32.03
    26   0.00236839  -0.00166508   0.00289513       -35.11
    27   0.00225157  -0.00177137   0.00286484       -38.19
    28   0.00209324  -0.00183911   0.00278639       -41.30
    29   0.00189797  -0.00186691   0.00266227       -44.53
    30   0.00167516  -0.00185262   0.00249767       -47.88
    31   0.00143234  -0.00179631   0.00229747       -51.43
    32   0.00124180  -0.00168107   0.00208999       -53.55
    33   0.00110012  -0.00148410   0.00184738       -53.45
    34   0.00089590  -0.00126086   0.00154674       -54.60
    35   0.00067982  -0.00100932   0.00121692       -56.04
    36   0.00045462  -0.00073542   0.00086460       -58.28
    37   0.00022839  -0.00044379   0.00049912       -62.77
    38   0.00001267  -0.00014068   0.00014125       -84.85
    39  -0.00019604   0.00016959   0.00025922      -220.86
    40  -0.00026480   0.00045222   0.00052405      -239.65
    41  -0.00055981   0.00073136   0.00092102       127.43
    42  -0.00110941   0.00105236   0.00152914       136.51
    43  -0.00170693   0.00138015   0.00219509       141.04
    44  -0.00232975   0.00170446   0.00288668       143.81
    45  -0.00294481   0.00201411   0.00356771       145.63
    46  -0.00353163   0.00230225   0.00421578       146.90
    47  -0.00406434   0.00255845   0.00480255       147.81
    48  -0.00455174   0.00280456   0.00534639       148.36
    49  -0.00439988   0.00430195   0.00615352       135.64
    50  -0.00361235   0.00398352   0.00537750       132.20
    51  -0.00275418   0.00358288   0.00451913       127.55
    52  -0.00185596   0.00311055   0.00362217       120.82
    53  -0.00093244   0.00257505   0.00273868       109.91
    54  -0.00000091   0.00198663   0.00198663        90.03
    55   0.00092256   0.00135632   0.00164034        55.78
    56   0.00181830   0.00069904   0.00194804        21.03
    57   0.00267945   0.00002278   0.00267955         0.49
    58   0.02392376  -0.00618506   0.02471035       -14.50
    59   0.02416364  -0.00654500   0.02503435       -15.16
    60   0.02421012  -0.00682632   0.02515410       -15.75
    61   0.02408474  -0.00705048   0.02509550       -16.32
    62   0.02379301  -0.00722231   0.02486502       -16.89
    63   0.02333452  -0.00734029   0.02446180       -17.46
    64   0.02270853  -0.00740133   0.02388425       -18.05
    65   0.02191563  -0.00740222   0.02313196       -18.66
    66   0.02095835  -0.00734022   0.02220656       -19.30
    67   0.01984037  -0.00721270   0.02111074       -19.98
    68   0.01856919  -0.00702056   0.01985202       -20.71
    69   0.01713071  -0.00674484   0.01841071       -21.49
    70   0.01556028  -0.00640125   0.01682552       -22.36
    71   0.01389069  -0.00600673   0.01513381       -23.39
    72   0.01213885  -0.00556773   0.01335482       -24.64
    73   0.01031997  -0.00508729   0.01150575       -26.24
    74   0.00845743  -0.00457368   0.00961492       -28.40
    75   0.00657477  -0.00403468   0.00771403       -31.54
    76   0.00471946  -0.00349606   0.00587331       -36.53
    77   0.00290778  -0.00295362   0.00414477       -45.45
    78   0.00102196  -0.00230873   0.00252481       -66.12
    79  -0.00079302  -0.00166328   0.00184266      -115.49
    80  -0.00262645  -0.00096372   0.00279768      -159.85
    81  -0.00384003  -0.00052182   0.00387532      -172.26
    82  -0.00472124  -0.00020413   0.00472565      -177.52
    83  -0.00549377   0.00009064   0.00549452      -180.95
    84  -0.00615406   0.00036301   0.00616475      -183.38
    85  -0.00670670   0.00061622   0.00673495      -185.25
    86  -0.00714810   0.00084912   0.00719836      -186.77
    87  -0.00747517   0.00105980   0.00754993      -188.07
    88  -0.00768559   0.00124580   0.00778590      -189.21
    89  -0.00777880   0.00140162   0.00790407      -190.21
    90  -0.00775452   0.00153780   0.00790553       168.78
    91  -0.00761458   0.00165781   0.00779295       167.72
    92  -0.00735796   0.00175449   0.00756424       166.59
    93  -0.00698970   0.00182480   0.00722398       165.37
    94  -0.00651775   0.00186620   0.00677966       164.02
    95  -0.00595398   0.00187690   0.00624281       162.50
    96  -0.00531143   0.00185490   0.00562600       160.75
    97  -0.00462228   0.00180191   0.00496108       158.70
    98  -0.00386810   0.00170456   0.00422702       156.22
    99  -0.00305941   0.00158215   0.00344430       152.65
   100  -0.00221129   0.00145804   0.00264871       146.60
   101  -0.00129942   0.00131716   0.00185024       134.61
   102  -0.00035745   0.00116261   0.00121632       107.09
   103   0.00059751   0.00099471   0.00116038        59.01
   104   0.00154656   0.00081507   0.00174820        27.79
   105   0.00247251   0.00062530   0.00255035        14.19
   106   0.00335567   0.00042860   0.00338293         7.28
   107   0.00418717   0.00022183   0.00419304         3.03
   108   0.00493687   0.00002063   0.00493691         0.24
   109   0.00561787  -0.00017078   0.00562046        -1.74
   110   0.00622313  -0.00035508   0.00623325        -3.27
   111   0.00673873  -0.00052823   0.00675940        -4.48
   112   0.00715618  -0.00068761   0.00718914        -5.49
   113   0.00746899  -0.00083063   0.00751503        -6.35
   114   0.00767321  -0.00095526   0.00773245        -7.10
   115   0.00776752  -0.00106023   0.00783954        -7.77
   116   0.00775346  -0.00114543   0.00783761        -8.40
   117   0.00763574  -0.00121308   0.00773150        -9.03
   118   0.00742446  -0.00127009   0.00753231        -9.71
   119   0.00713372  -0.00134884   0.00726012       -10.71
   120   0.00673147  -0.00142645   0.00688095       -11.96
   121   0.00622960  -0.00147588   0.00640204       -13.33
   122   0.00563243  -0.00149963   0.00582865       -14.91
   123   0.00495103  -0.00149582   0.00517206       -16.81
   124   0.00419686  -0.00146371   0.00444478       -19.23
   125   0.00338226  -0.00140267   0.00366158       -22.52
   126   0.00252498  -0.00131213   0.00284556       -27.46
   127   0.00162304  -0.00119245   0.00201400       -36.30
   128   0.00074564  -0.00102055   0.00126392       -53.85
   129  -0.00014493  -0.00074015   0.00075420      -101.08
   130  -0.00105775  -0.00038974   0.00112726      -159.77
   131  -0.00197272   0.00001362   0.00197277      -180.40
   132  -0.00287111   0.00045683   0.00290722      -189.04
   133  -0.00373436   0.00092765   0.00384785      -193.95
   134  -0.00454538   0.00141419   0.00476029      -197.28
   135  -0.00528855   0.00190496   0.00562118      -199.81
   136  -0.00594984   0.00238887   0.00641150      -201.88
   137  -0.00651742   0.00285595   0.00711570      -203.66
   138  -0.00697988   0.00329438   0.00771827      -205.27
   139  -0.00733546   0.00370620   0.00821857      -206.80
   140  -0.00757479   0.00407813   0.00860282       151.70
   141  -0.00768559   0.00437809   0.00884511       150.33
   142  -0.00766922   0.00461035   0.00894831       148.99
   143  -0.00752560   0.00476975   0.00890984       147.63
   144  -0.00725883   0.00485575   0.00873320       146.22
   145  -0.00687657   0.00486973   0.00842624       144.70
   146  -0.00638770   0.00481554   0.00799951       142.99
   147  -0.00581992   0.00470242   0.00748226       141.06
   148  -0.00514861   0.00453875   0.00686356       138.60
   149  -0.01976854   0.00491343   0.02037000       166.04
   150  -0.02046040   0.00554222   0.02119774       164.84
   151  -0.01996298   0.00522638   0.02063579       165.33
   152  -0.01933720   0.00483983   0.01993367       165.95
   153  -0.01861047   0.00441143   0.01912616       166.66
   154  -0.01779753   0.00395711   0.01823213       167.46
   155  -0.01690469   0.00348535   0.01726025       168.35
   156  -0.01593695   0.00300322   0.01621745       169.33
   157  -0.01489938   0.00251757   0.01511058       170.41
   158  -0.01379818   0.00203576   0.01394754       171.61
   159  -0.01263836   0.00156349   0.01273471       172.95
   160  -0.01143596   0.00111372   0.01149006       174.44
   161  -0.01012032   0.00060726   0.01013853       176.57
   162  -0.00866988   0.00003871   0.00866997       179.74
   163  -0.00727217  -0.00046821   0.00728723       183.68
   164  -0.00592464  -0.00091332   0.00599462       188.76
   165  -0.00467225  -0.00126426   0.00484028       195.14
   166  -0.00357996  -0.00147344   0.00387133       202.37
   167  -0.00274684  -0.00146910   0.00311503       208.14
   168  -0.00253953  -0.00097902   0.00272171       201.08
   169  -0.00302000  -0.00003408   0.00302020       180.65
   170  -0.00229984  -0.00010664   0.00230231       182.65
   171  -0.00104286  -0.00068200   0.00124606       213.18
   172   0.00062038  -0.00143024   0.00155900       293.45
   173   0.00380895  -0.00204401   0.00432274       -28.22
   174   0.00433928  -0.00192507   0.00474713       -23.92
   175   0.00482751  -0.00182118   0.00515960       -20.67
   176   0.00525032  -0.00173418   0.00552930       -18.28
   177   0.00559952  -0.00166313   0.00584129       -16.54
   178   0.00586927  -0.00160939   0.00608592       -15.33
   179   0.00604083  -0.00157803   0.00624354       -14.64
   180   0.00619401  -0.00155796   0.00638694       -14.12
   181   0.00403422  -0.00944412   0.01026968       -66.87
   182   0.00420494  -0.00913442   0.01005581       -65.28
   183   0.00425666  -0.00860044   0.00959618       -63.67
   184   0.00415384  -0.00779241   0.00883041       -61.94
   185   0.00382521  -0.00662381   0.00764899       -59.99
   186   0.00315005  -0.00494742   0.00586513       -57.51
   187   0.00159462  -0.00213447   0.00266436       -53.24
   188  -0.00057993   0.00113933   0.00127844       116.98
   189  -0.00080108   0.00160403   0.00179294       116.54
   190  -0.00091192   0.00189176   0.00210009       115.74
   191  -0.00098748   0.00219080   0.00240306       114.26
   192  -0.00102790   0.00246978   0.00267514       112.60
   193  -0.00102952   0.00272047   0.00290876       110.73
   194  -0.00099886   0.00293563   0.00310091       108.79
   195  -0.00094425   0.00310849   0.00324874       106.90
   196  -0.00087182   0.00324434   0.00335943       105.04
   197  -0.00076081   0.00333791   0.00342352       102.84
   198  -0.00062132   0.00338184   0.00343845       100.41
   199  -0.00045567   0.00337652   0.00340712        97.69
   200  -0.00027232   0.00331533   0.00332650        94.70
   201  -0.00008002   0.00319459   0.00319560        91.43
   202   0.00010342   0.00300579   0.00300757        88.03
   203   0.00026739   0.00274835   0.00276133        84.44
   204   0.00025451   0.00231394   0.00232790        83.72
   205   0.00001079   0.00158955   0.00158959        89.61
   206  -0.00014644   0.00087119   0.00088341        99.54
