 [antenna_field.dat]

  É” = 90.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -90.000  -0.27496  -0.33824   0.43590  -129.108    2.0246   **   0.03778  -0.10039   0.10726   -69.378  -10.1544   **    2.2799   -59.7309 
 -89.000  -0.27239  -0.33372   0.43077  -129.222    1.9217   **   0.03372  -0.09788   0.10353   -70.990  -10.4619   **    2.1656   -58.2324 
 -88.000  -0.26985  -0.32922   0.42568  -129.340    1.8185   **   0.02957  -0.09523   0.09971   -72.751  -10.7883   **    2.0505   -56.5890 
 -87.000  -0.26736  -0.32475   0.42065  -129.464    1.7151   **   0.02531  -0.09242   0.09582   -74.687  -11.1339   **    1.9348   -54.7770 
 -86.000  -0.26491  -0.32031   0.41566  -129.592    1.6115   **   0.02094  -0.08946   0.09188   -76.823  -11.4987   **    1.8187   -52.7687 
 -85.000  -0.26249  -0.31589   0.41072  -129.726    1.5076   **   0.01648  -0.08635   0.08791   -79.194  -11.8821   **    1.7022   -50.5317 
 -84.000  -0.26012  -0.31150   0.40583  -129.865    1.4036   **   0.01192  -0.08310   0.08395   -81.837  -12.2829   **    1.5855   -48.0281 
 -83.000  -0.25780  -0.30713   0.40098  -130.009    1.2993   **   0.00726  -0.07969   0.08002   -84.795  -12.6989   **    1.4689   -45.2143 
 -82.000  -0.25552  -0.30279   0.39619  -130.160    1.1950   **   0.00250  -0.07614   0.07618   -88.119  -13.1262   **    1.3526   -42.0414 
 -81.000  -0.25328  -0.29848   0.39146  -130.317    1.0904   **  -0.00235  -0.07244   0.07248   -91.861  -13.5589   **    1.2368   -38.4557 
 -80.000  -0.25108  -0.29419   0.38677  -130.480    0.9858   **  -0.00730  -0.06860   0.06898   -96.077  -13.9883   **    1.1218   -34.4023 
 -79.000  -0.24893  -0.28993   0.38214  -130.649    0.8811   **  -0.01235  -0.06460   0.06577  -100.819  -14.4022   **    1.0079   -29.8299 
 -78.000  -0.24683  -0.28570   0.37756  -130.825    0.7764   **  -0.01748  -0.06047   0.06294  -106.124  -14.7841   **    0.8955   -24.7008 
 -77.000  -0.24477  -0.28149   0.37303  -131.008    0.6716   **  -0.02271  -0.05619   0.06060  -112.004  -15.1135   **    0.7848   -19.0042 
 -76.000  -0.24276  -0.27732   0.36856  -131.198    0.5669   **  -0.02802  -0.05176   0.05886  -118.426  -15.3668   **    0.6763   -12.7725 
 -75.000  -0.24079  -0.27316   0.36414  -131.395    0.4621   **  -0.03342  -0.04720   0.05783  -125.300  -15.5202   **    0.5703    -6.0957 
 -74.000  -0.23887  -0.26904   0.35978  -131.600    0.3575   **  -0.03890  -0.04249   0.05761  -132.475  -15.5539   **    0.4674     0.8747 
 -73.000  -0.23699  -0.26494   0.35547  -131.813    0.2529   **  -0.04446  -0.03764   0.05826  -139.752  -15.4564   **    0.3680     7.9387 
 -72.000  -0.23517  -0.26087   0.35123  -132.033    0.1485   **  -0.05011  -0.03265   0.05981  -146.912  -15.2283   **    0.2726    14.8783 
 -71.000  -0.23339  -0.25683   0.34703  -132.262    0.0442   **  -0.05583  -0.02752   0.06224  -153.758  -14.8813   **    0.1818    21.4958 
 -70.000  -0.23166  -0.25282   0.34290  -132.499   -0.0598   **  -0.06162  -0.02226   0.06552  -160.142  -14.4359   **    0.0959    27.6433 
 -69.000  -0.22997  -0.24884   0.33883  -132.744   -0.1636   **  -0.06749  -0.01685   0.06956  -165.979  -13.9158   **    0.0157    33.2349 
 -68.000  -0.22834  -0.24488   0.33482  -132.998   -0.2670   **  -0.07342  -0.01132   0.07429  -171.239  -13.3444   **   -0.0583    38.2413 
 -67.000  -0.22675  -0.24095   0.33087  -133.261   -0.3701   **  -0.07943  -0.00564   0.07963  -175.936  -12.7421   **   -0.1256    42.6756 
 -66.000  -0.22521  -0.23706   0.32698  -133.532   -0.4727   **  -0.08549   0.00016   0.08549   179.891  -12.1249   **   -0.1856  -313.4235 
 -65.000  -0.22372  -0.23319   0.32316  -133.813   -0.5749   **  -0.09161   0.00610   0.09182   176.191  -11.5048   **   -0.2378  -310.0044 
 -64.000  -0.22228  -0.22936   0.31940  -134.103   -0.6766   **  -0.09779   0.01216   0.09855   172.909  -10.8903   **   -0.2816  -307.0121 
 -63.000  -0.22089  -0.22556   0.31571  -134.402   -0.7776   **  -0.10403   0.01836   0.10564   169.992  -10.2870   **   -0.3167  -304.3934 
 -62.000  -0.21955  -0.22179   0.31208  -134.710   -0.8779   **  -0.11031   0.02468   0.11304   167.390   -9.6987   **   -0.3426  -302.0998 
 -61.000  -0.21826  -0.21805   0.30852  -135.028   -0.9775   **  -0.11664   0.03112   0.12072   165.061   -9.1275   **   -0.3588  -300.0883 
 -60.000  -0.21702  -0.21435   0.30503  -135.355   -1.0763   **  -0.12301   0.03769   0.12866   162.967   -8.5746   **   -0.3652  -298.3215 
 -59.000  -0.21583  -0.21069   0.30162  -135.691   -1.1741   **  -0.12943   0.04437   0.13682   161.076   -8.0402   **   -0.3615  -296.7675 
 -58.000  -0.21469  -0.20706   0.29827  -136.037   -1.2710   **  -0.13587   0.05117   0.14519   159.362   -7.5246   **   -0.3475  -295.3990 
 -57.000  -0.21360  -0.20347   0.29500  -136.392   -1.3667   **  -0.14235   0.05809   0.15375   157.801   -7.0272   **   -0.3232  -294.1927 
 -56.000  -0.21256  -0.19992   0.29181  -136.756   -1.4613   **  -0.14886   0.06512   0.16247   156.373   -6.5475   **   -0.2885  -293.1291 
