 [antenna_pattern.dat]

  É” = 90.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000   -3.3797  -15.5586   -4.6621   -8.3499
   -89.000   -3.4826  -15.8662   -4.8214   -8.3609
   -88.000   -3.5857  -16.1926   -4.9857   -8.3667
   -87.000   -3.6891  -16.5382   -5.1552   -8.3673
   -86.000   -3.7928  -16.9030   -5.3303   -8.3627
   -85.000   -3.8967  -17.2864   -5.5109   -8.3530
   -84.000   -4.0007  -17.6872   -5.6976   -8.3381
   -83.000   -4.1049  -18.1031   -5.8904   -8.3180
   -82.000   -4.2093  -18.5304   -6.0897   -8.2929
   -81.000   -4.3138  -18.9632   -6.2958   -8.2628
   -80.000   -4.4184  -19.3926   -6.5090   -8.2277
   -79.000   -4.5231  -19.8065   -6.7296   -8.1877
   -78.000   -4.6279  -20.1884   -6.9581   -8.1429
   -77.000   -4.7326  -20.5178   -7.1948   -8.0934
   -76.000   -4.8374  -20.7711   -7.4402   -8.0393
   -75.000   -4.9421  -20.9245   -7.6948   -7.9806
   -74.000   -5.0468  -20.9581   -7.9590   -7.9176
   -73.000   -5.1514  -20.8607   -8.2335   -7.8503
   -72.000   -5.2558  -20.6325   -8.5188   -7.7788
   -71.000   -5.3600  -20.2856   -8.8155   -7.7034
   -70.000   -5.4641  -19.8402   -9.1245   -7.6240
   -69.000   -5.5678  -19.3201   -9.4464   -7.5408
   -68.000   -5.6713  -18.7487   -9.7822   -7.4541
   -67.000   -5.7744  -18.1464  -10.1327   -7.3639
   -66.000   -5.8770  -17.5292  -10.4989   -7.2703
   -65.000   -5.9792  -16.9091  -10.8820   -7.1736
   -64.000   -6.0808  -16.2945  -11.2830   -7.0739
   -63.000   -6.1819  -15.6913  -11.7034   -6.9713
   -62.000   -6.2822  -15.1030  -12.1443   -6.8660
   -61.000   -6.3818  -14.5318  -12.6074   -6.7581
   -60.000   -6.4806  -13.9788  -13.0940   -6.6479
   -59.000   -6.5784  -13.4445  -13.6056   -6.5353
   -58.000   -6.6752  -12.9288  -14.1438   -6.4207
   -57.000   -6.7710  -12.4314  -14.7097   -6.3042
   -56.000   -6.8656  -11.9518  -15.3041   -6.1858
   -55.000   -6.9588  -11.4893  -15.9271   -6.0658
   -54.000   -7.0507  -11.0431  -16.5773   -5.9443
   -53.000   -7.1411  -10.6128  -17.2510   -5.8215
   -52.000   -7.2299  -10.1974  -17.9411   -5.6974
   -51.000   -7.3170   -9.7963  -18.6349   -5.5723
   -50.000   -7.4023   -9.4089  -19.3119   -5.4463
   -49.000   -7.4857   -9.0344  -19.9417   -5.3195
   -48.000   -7.5670   -8.6724  -20.4829   -5.1920
   -47.000   -7.6461   -8.3223  -20.8875   -5.0641
   -46.000   -7.7230   -7.9835  -21.1098   -4.9357
   -45.000   -7.7976   -7.6556  -21.1221   -4.8071
   -44.000   -7.8696   -7.3380  -20.9251   -4.6783
   -43.000   -7.9390   -7.0304  -20.5481   -4.5496
   -42.000   -8.0057   -6.7324  -20.0371   -4.4210
   -41.000   -8.0697   -6.4436  -19.4403   -4.2926
   -40.000   -8.1307   -6.1637  -18.7985   -4.1645
   -39.000   -8.1887   -5.8924  -18.1416   -4.0369
   -38.000   -8.2437   -5.6293  -17.4898   -3.9099
   -37.000   -8.2955   -5.3742  -16.8553   -3.7835
   -36.000   -8.3441   -5.1268  -16.2454   -3.6579
   -35.000   -8.3894   -4.8870  -15.6634   -3.5332
   -34.000   -8.4313   -4.6544  -15.1108   -3.4095
   -33.000   -8.4699   -4.4290  -14.5875   -3.2868
   -32.000   -8.5050   -4.2104  -14.0929   -3.1653
   -31.000   -8.5367   -3.9986  -13.6257   -3.0451
   -30.000   -8.5649   -3.7933  -13.1845   -2.9262
   -29.000   -8.5896   -3.5945  -12.7680   -2.8087
   -28.000   -8.6108   -3.4019  -12.3747   -2.6928
   -27.000   -8.6285   -3.2154  -12.0032   -2.5785
   -26.000   -8.6428   -3.0350  -11.6523   -2.4658
   -25.000   -8.6537   -2.8605  -11.3208   -2.3549
   -24.000   -8.6612   -2.6918  -11.0076   -2.2458
   -23.000   -8.6654   -2.5288  -10.7117   -2.1386
   -22.000   -8.6662   -2.3715  -10.4321   -2.0334
   -21.000   -8.6639   -2.2196  -10.1680   -1.9303
   -20.000   -8.6584   -2.0732   -9.9187   -1.8292
   -19.000   -8.6498   -1.9322   -9.6834   -1.7303
   -18.000   -8.6382   -1.7965   -9.4615   -1.6337
   -17.000   -8.6238   -1.6661   -9.2524   -1.5393
   -16.000   -8.6065   -1.5408   -9.0557   -1.4473
   -15.000   -8.5865   -1.4207   -8.8708   -1.3577
   -14.000   -8.5638   -1.3057   -8.6972   -1.2706
   -13.000   -8.5387   -1.1957   -8.5347   -1.1860
   -12.000   -8.5112   -1.0908   -8.3827   -1.1039
   -11.000   -8.4814   -0.9908   -8.2411   -1.0245
   -10.000   -8.4494   -0.8957   -8.1095   -0.9477
    -9.000   -8.4153   -0.8056   -7.9875   -0.8736
    -8.000   -8.3792   -0.7203   -7.8751   -0.8023
    -7.000   -8.3414   -0.6399   -7.7719   -0.7338
    -6.000   -8.3018   -0.5643   -7.6778   -0.6681
    -5.000   -8.2605   -0.4935   -7.5925   -0.6053
