 [antenna_conf.dat]

      NSEG      NWIR      NFED     NLOAD           FREQ0          RAMDA0            USEF
       134        13         1         0      3000000000      0.09993082      2700000000

Segment
   NO.           SX           SY           SZ             RX             RY             RZ           SEGL             RA     RAD_MODE
     0    0.7071068    0.7071068    0.0000000      -0.241581       0.000000       0.250000       0.028200       0.005000            1
     1    0.7071068    0.7071068    0.0000000      -0.221640       0.019940       0.250000       0.028200       0.005000            1
     2    1.0000000    0.0000000    0.0000000      -0.201700       0.039881       0.250000       0.020170       0.005000            1
     3    1.0000000    0.0000000    0.0000000      -0.201700       0.039881       0.250000       0.020170       0.005000            1
     4    1.0000000    0.0000000    0.0000000      -0.181530       0.039881       0.250000       0.020170       0.005000            1
     5    1.0000000    0.0000000    0.0000000      -0.161360       0.039881       0.250000       0.020170       0.005000            1
     6    1.0000000    0.0000000    0.0000000      -0.141190       0.039881       0.250000       0.020170       0.005000            1
     7    1.0000000    0.0000000    0.0000000      -0.121020       0.039881       0.250000       0.020170       0.005000            1
     8    1.0000000    0.0000000    0.0000000      -0.100850       0.039881       0.250000       0.020170       0.005000            1
     9    1.0000000    0.0000000    0.0000000      -0.080680       0.039881       0.250000       0.020170       0.005000            1
    10    1.0000000    0.0000000    0.0000000      -0.060510       0.039881       0.250000       0.020170       0.005000            1
    11    1.0000000    0.0000000    0.0000000      -0.040340       0.039881       0.250000       0.020170       0.005000            1
    12    1.0000000    0.0000000    0.0000000      -0.020170       0.039881       0.250000       0.020170       0.005000            1
    13    1.0000000    0.0000000    0.0000000       0.000000       0.039881       0.250000       0.020170       0.005000            1
    14    1.0000000    0.0000000    0.0000000       0.020170       0.039881       0.250000       0.020170       0.005000            1
    15    1.0000000    0.0000000    0.0000000       0.040340       0.039881       0.250000       0.020170       0.005000            1
    16    1.0000000    0.0000000    0.0000000       0.060510       0.039881       0.250000       0.020170       0.005000            1
    17    1.0000000    0.0000000    0.0000000       0.080680       0.039881       0.250000       0.020170       0.005000            1
    18    1.0000000    0.0000000    0.0000000       0.100850       0.039881       0.250000       0.020170       0.005000            1
    19    1.0000000    0.0000000    0.0000000       0.121020       0.039881       0.250000       0.020170       0.005000            1
    20    1.0000000    0.0000000    0.0000000       0.141190       0.039881       0.250000       0.020170       0.005000            1
    21    1.0000000    0.0000000    0.0000000       0.161360       0.039881       0.250000       0.020170       0.005000            1
    22    1.0000000    0.0000000    0.0000000       0.181530       0.039881       0.250000       0.020170       0.005000            1
    23    0.7071068   -0.7071068    0.0000000       0.201700       0.039881       0.250000       0.028200       0.005000            1
    24    0.7071068   -0.7071068    0.0000000       0.201700       0.039881       0.250000       0.028200       0.005000            1
    25    0.7071068   -0.7071068    0.0000000       0.221640       0.019940       0.250000       0.028200       0.005000            1
    26   -0.7071068   -0.7071068    0.0000000       0.241581       0.000000       0.250000       0.028200       0.005000            1
    27   -0.7071068   -0.7071068    0.0000000       0.241581      -0.000000       0.250000       0.028200       0.005000            1
    28   -0.7071068   -0.7071068    0.0000000       0.221640      -0.019940       0.250000       0.028200       0.005000            1
    29   -1.0000000   -0.0000000    0.0000000       0.201700      -0.039881       0.250000       0.020170       0.005000            1
    30   -1.0000000   -0.0000000    0.0000000       0.201700      -0.039881       0.250000       0.020170       0.005000            1
    31   -1.0000000   -0.0000000    0.0000000       0.181530      -0.039881       0.250000       0.020170       0.005000            1
    32   -1.0000000   -0.0000000    0.0000000       0.161360      -0.039881       0.250000       0.020170       0.005000            1
    33   -1.0000000   -0.0000000    0.0000000       0.141190      -0.039881       0.250000       0.020170       0.005000            1
    34   -1.0000000   -0.0000000    0.0000000       0.121020      -0.039881       0.250000       0.020170       0.005000            1
    35   -1.0000000   -0.0000000    0.0000000       0.100850      -0.039881       0.250000       0.020170       0.005000            1
    36   -1.0000000   -0.0000000    0.0000000       0.080680      -0.039881       0.250000       0.020170       0.005000            1
    37   -1.0000000   -0.0000000    0.0000000       0.060510      -0.039881       0.250000       0.020170       0.005000            1
    38   -1.0000000   -0.0000000    0.0000000       0.040340      -0.039881       0.250000       0.020170       0.005000            1
    39   -1.0000000   -0.0000000    0.0000000       0.020170      -0.039881       0.250000       0.020170       0.005000            1
    40   -1.0000000   -0.0000000    0.0000000      -0.000000      -0.039881       0.250000       0.020170       0.005000            1
    41   -1.0000000   -0.0000000    0.0000000      -0.020170      -0.039881       0.250000       0.020170       0.005000            1
    42   -1.0000000   -0.0000000    0.0000000      -0.040340      -0.039881       0.250000       0.020170       0.005000            1
    43   -1.0000000   -0.0000000    0.0000000      -0.060510      -0.039881       0.250000       0.020170       0.005000            1
    44   -1.0000000   -0.0000000    0.0000000      -0.080680      -0.039881       0.250000       0.020170       0.005000            1
    45   -1.0000000   -0.0000000    0.0000000      -0.100850      -0.039881       0.250000       0.020170       0.005000            1
    46   -1.0000000   -0.0000000    0.0000000      -0.121020      -0.039881       0.250000       0.020170       0.005000            1
    47   -1.0000000   -0.0000000    0.0000000      -0.141190      -0.039881       0.250000       0.020170       0.005000            1
    48   -1.0000000   -0.0000000    0.0000000      -0.161360      -0.039881       0.250000       0.020170       0.005000            1
    49   -1.0000000   -0.0000000    0.0000000      -0.181530      -0.039881       0.250000       0.020170       0.005000            1
    50   -0.7071068    0.7071068    0.0000000      -0.201700      -0.039881       0.250000       0.028200       0.005000            1
    51   -0.7071068    0.7071068    0.0000000      -0.201700      -0.039881       0.250000       0.028200       0.005000            1
    52   -0.7071068    0.7071068    0.0000000      -0.221640      -0.019940       0.250000       0.028200       0.005000            1
    53    0.7071068    0.7071068    0.0000000      -0.241581      -0.000000       0.250000       0.028200       0.005000            1
    54    0.7071068    0.7071068   -0.0000000      -0.241581       0.000000      -0.250000       0.028200       0.005000            1
    55    0.7071068    0.7071068   -0.0000000      -0.221640       0.019940      -0.250000       0.028200       0.005000            1
    56    1.0000000    0.0000000   -0.0000000      -0.201700       0.039881      -0.250000       0.020170       0.005000            1
    57    1.0000000    0.0000000   -0.0000000      -0.201700       0.039881      -0.250000       0.020170       0.005000            1
    58    1.0000000    0.0000000   -0.0000000      -0.181530       0.039881      -0.250000       0.020170       0.005000            1
    59    1.0000000    0.0000000   -0.0000000      -0.161360       0.039881      -0.250000       0.020170       0.005000            1
    60    1.0000000    0.0000000   -0.0000000      -0.141190       0.039881      -0.250000       0.020170       0.005000            1
    61    1.0000000    0.0000000   -0.0000000      -0.121020       0.039881      -0.250000       0.020170       0.005000            1
    62    1.0000000    0.0000000   -0.0000000      -0.100850       0.039881      -0.250000       0.020170       0.005000            1
    63    1.0000000    0.0000000   -0.0000000      -0.080680       0.039881      -0.250000       0.020170       0.005000            1
    64    1.0000000    0.0000000   -0.0000000      -0.060510       0.039881      -0.250000       0.020170       0.005000            1
    65    1.0000000    0.0000000   -0.0000000      -0.040340       0.039881      -0.250000       0.020170       0.005000            1
    66    1.0000000    0.0000000   -0.0000000      -0.020170       0.039881      -0.250000       0.020170       0.005000            1
