 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00296546   0.00207952   0.00362193       144.96
     2  -0.00345466   0.00184818   0.00391796       151.85
     3  -0.00143363  -0.00130899   0.00194133      -137.60
     4  -0.00173813  -0.00151758   0.00230741      -138.88
     5  -0.00200754  -0.00172186   0.00264481      -139.38
     6  -0.00224544  -0.00192194   0.00295565      -139.44
     7  -0.00244544  -0.00211100   0.00323056      -139.20
     8  -0.00260517  -0.00228515   0.00346537      -138.74
     9  -0.00272257  -0.00244078   0.00365648      -138.12
    10  -0.00279631  -0.00257487   0.00380122      -137.36
    11  -0.00282551  -0.00268479   0.00389764      -136.46
    12  -0.00280978  -0.00276833   0.00394443      -135.43
    13  -0.00274917  -0.00282366   0.00394094      -134.23
    14  -0.00264414  -0.00284932   0.00388717      -132.86
    15  -0.00249552  -0.00284422   0.00378380      -131.26
    16  -0.00230445  -0.00280759   0.00363223      -129.38
    17  -0.00207233  -0.00273901   0.00343463      -127.11
    18  -0.00180068  -0.00263826   0.00319419      -124.31
    19  -0.00149119  -0.00250547   0.00291566      -120.76
    20  -0.00114456  -0.00234042   0.00260530      -116.06
    21  -0.00076512  -0.00214554   0.00227788      -109.63
    22  -0.00033481  -0.00190923   0.00193836       -99.95
    23   0.00030241  -0.00154568   0.00157499       -78.93
    24   0.00098797  -0.00114284   0.00151068       -49.16
    25   0.00165572  -0.00071344   0.00180289       -23.31
    26   0.00224070  -0.00027470   0.00225748        -6.99
    27   0.00260999   0.00004620   0.00261040         1.01
    28   0.00290348   0.00035151   0.00292468         6.90
    29   0.00314161   0.00065223   0.00320860        11.73
    30   0.00332118   0.00094419   0.00345279        15.87
    31   0.00344312   0.00122568   0.00365478        19.59
    32   0.00350761   0.00149427   0.00381263        23.07
    33   0.00351523   0.00174755   0.00392565        26.43
    34   0.00346689   0.00198312   0.00399401        29.77
    35   0.00336393   0.00219866   0.00401872        33.17
    36   0.00320810   0.00239203   0.00400171        36.71
    37   0.00300161   0.00256131   0.00394588        40.47
    38   0.00274711   0.00270482   0.00385521        44.56
    39   0.00244762   0.00282117   0.00373495        49.06
    40   0.00210648   0.00290926   0.00359181        54.09
    41   0.00172727   0.00296830   0.00343427        59.80
    42   0.00131356   0.00299767   0.00327284        66.34
    43   0.00086892   0.00299695   0.00312037        73.83
    44   0.00039504   0.00296507   0.00299127        82.41
    45  -0.00010211   0.00290239   0.00290419        92.01
    46  -0.00065071   0.00279586   0.00287059       103.10
    47  -0.00142686   0.00260554   0.00297065       118.71
    48  -0.00222561   0.00236296   0.00324606       133.29
    49   0.00296546  -0.00207952   0.00362193       -35.04
    50   0.00345466  -0.00184818   0.00391796       -28.15
    51   0.00143363   0.00130899   0.00194133        42.40
    52   0.00173813   0.00151758   0.00230741        41.12
    53   0.00200754   0.00172186   0.00264481        40.62
    54   0.00224544   0.00192194   0.00295565        40.56
    55   0.00244544   0.00211100   0.00323056        40.80
    56   0.00260517   0.00228515   0.00346537        41.26
    57   0.00272257   0.00244078   0.00365648        41.88
    58   0.00279631   0.00257487   0.00380122        42.64
    59   0.00282551   0.00268479   0.00389764        43.54
    60   0.00280978   0.00276833   0.00394443        44.57
    61   0.00274917   0.00282366   0.00394094        45.77
    62   0.00264414   0.00284932   0.00388717        47.14
    63   0.00249552   0.00284422   0.00378380        48.74
    64   0.00230445   0.00280759   0.00363223        50.62
    65   0.00207233   0.00273900   0.00343463        52.89
    66   0.00180068   0.00263826   0.00319419        55.69
    67   0.00149119   0.00250547   0.00291566        59.24
    68   0.00114456   0.00234042   0.00260530        63.94
    69   0.00076512   0.00214554   0.00227788        70.37
    70   0.00033481   0.00190923   0.00193836        80.05
    71  -0.00030241   0.00154568   0.00157499       101.07
    72  -0.00098797   0.00114284   0.00151068       130.84
    73  -0.00165572   0.00071344   0.00180289       156.69
    74  -0.00224070   0.00027470   0.00225748       173.01
    75  -0.00260999  -0.00004620   0.00261040      -178.99
    76  -0.00290348  -0.00035151   0.00292468      -173.10
    77  -0.00314161  -0.00065223   0.00320860      -168.27
    78  -0.00332118  -0.00094419   0.00345279      -164.13
    79  -0.00344312  -0.00122568   0.00365478      -160.41
    80  -0.00350761  -0.00149427   0.00381263      -156.93
    81  -0.00351523  -0.00174755   0.00392565      -153.57
    82  -0.00346689  -0.00198312   0.00399401      -150.23
    83  -0.00336393  -0.00219866   0.00401872      -146.83
    84  -0.00320810  -0.00239203   0.00400171      -143.29
    85  -0.00300161  -0.00256131   0.00394588      -139.53
    86  -0.00274711  -0.00270482   0.00385521      -135.44
    87  -0.00244762  -0.00282117   0.00373495      -130.94
    88  -0.00210648  -0.00290926   0.00359181      -125.91
    89  -0.00172727  -0.00296830   0.00343427      -120.20
    90  -0.00131356  -0.00299767   0.00327284      -113.66
    91  -0.00086892  -0.00299695   0.00312037      -106.17
    92  -0.00039504  -0.00296507   0.00299127       -97.59
    93   0.00010211  -0.00290239   0.00290419       -87.99
    94   0.00065071  -0.00279586   0.00287059       -76.90
    95   0.00142686  -0.00260554   0.00297065       -61.29
    96   0.00222561  -0.00236296   0.00324606       -46.71
    97   0.00228005  -0.00300362   0.00377099       -52.80
    98   0.00248424  -0.00286246   0.00379014       -49.05
    99   0.00282184  -0.00257693   0.00382144       -42.40
   100   0.00315868  -0.00223198   0.00386769       -35.25
   101   0.00349375  -0.00182674   0.00394249       -27.60
   102   0.00381109  -0.00136995   0.00404983       -19.77
   103   0.00410187  -0.00086581   0.00419225       -11.92
   104   0.00435871  -0.00031774   0.00437027        -4.17
   105   0.00457596   0.00027561   0.00458425         3.45
   106   0.00474925   0.00090801   0.00483527        10.82
   107   0.00487531   0.00164730   0.00514609        18.67
   108   0.00495185   0.00225214   0.00543994        24.46
   109   0.00497751   0.00440848   0.00664908        41.53
   110   0.00495185   0.00225214   0.00543994        24.46
   111   0.00487531   0.00164730   0.00514609        18.67
   112   0.00474925   0.00090801   0.00483527        10.82
   113   0.00457596   0.00027561   0.00458425         3.45
   114   0.00435871  -0.00031774   0.00437027        -4.17
   115   0.00410187  -0.00086581   0.00419225       -11.92
   116   0.00381109  -0.00136995   0.00404983       -19.77
   117   0.00349375  -0.00182674   0.00394249       -27.60
   118   0.00315868  -0.00223198   0.00386769       -35.25
   119   0.00282184  -0.00257693   0.00382144       -42.40
   120   0.00248425  -0.00286246   0.00379014       -49.05
   121   0.00228005  -0.00300362   0.00377099       -52.80



     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00298688   0.00211085   0.00365748       144.75
     2  -0.00347898   0.00188269   0.00395573       151.58
     3  -0.00145077  -0.00128617   0.00193881      -138.44
     4  -0.00175697  -0.00149334   0.00230587      -139.64
     5  -0.00202780  -0.00169664   0.00264397      -140.08
     6  -0.00226685  -0.00189613   0.00295532      -140.09
     7  -0.00246769  -0.00208502   0.00323061      -139.80
     8  -0.00262793  -0.00225939   0.00346567      -139.31
     9  -0.00274551  -0.00241564   0.00365693      -138.66
    10  -0.00281908  -0.00255071   0.00380175      -137.86
    11  -0.00284776  -0.00266197   0.00389818      -136.93
    12  -0.00283118  -0.00274718   0.00394494      -135.86
    13  -0.00276939  -0.00280448   0.00394140      -134.64
    14  -0.00266286  -0.00283239   0.00388758      -133.23
    15  -0.00251244  -0.00282980   0.00378419      -131.60
    16  -0.00231930  -0.00279591   0.00363266      -129.68
    17  -0.00208486  -0.00273024   0.00343524      -127.37
    18  -0.00181067  -0.00263259   0.00319516      -124.52
