 [antenna_field.dat]

  É” = 0.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -90.000  -0.00000   0.00000   0.00000   117.791  -60.0000   **   0.27646  -0.18990   0.33540   -34.484   -1.2301   **   -1.2301   152.2755 
 -89.000  -0.00143   0.00002   0.00143   179.183  -48.6628   **   0.27615  -0.19007   0.33524   -34.539   -1.2341   **   -1.2341   213.7218 
 -88.000  -0.00285   0.00004   0.00285   179.126  -42.6403   **   0.27523  -0.19059   0.33478   -34.702   -1.2462   **   -1.2459   213.8276 
 -87.000  -0.00428   0.00007   0.00428   179.031  -39.1153   **   0.27369  -0.19146   0.33401   -34.974   -1.2662   **   -1.2655   214.0048 
 -86.000  -0.00571   0.00011   0.00571   178.898  -36.6121   **   0.27154  -0.19266   0.33295   -35.357   -1.2939   **   -1.2926   214.2547 
 -85.000  -0.00714   0.00016   0.00714   178.728  -34.6681   **   0.26878  -0.19422   0.33160   -35.852   -1.3289   **   -1.3269   214.5792 
 -84.000  -0.00857   0.00022   0.00857   178.521  -33.0774   **   0.26541  -0.19611   0.33000   -36.460   -1.3710   **   -1.3681   214.9806 
 -83.000  -0.01001   0.00030   0.01001   178.278  -31.7301   **   0.26144  -0.19833   0.32816   -37.184   -1.4196   **   -1.4156   215.4616 
 -82.000  -0.01145   0.00040   0.01146   177.999  -30.5605   **   0.25688  -0.20089   0.32611   -38.026   -1.4741   **   -1.4688   216.0253 
 -81.000  -0.01289   0.00052   0.01290   177.686  -29.5264   **   0.25174  -0.20377   0.32388   -38.989   -1.5338   **   -1.5269   216.6751 
 -80.000  -0.01434   0.00067   0.01436   177.339  -28.5988   **   0.24601  -0.20698   0.32150   -40.075   -1.5977   **   -1.5891   217.4144 
 -79.000  -0.01580   0.00084   0.01582   176.960  -27.7571   **   0.23971  -0.21050   0.31902   -41.287   -1.6650   **   -1.6544   218.2471 
 -78.000  -0.01726   0.00104   0.01729   176.549  -26.9862   **   0.23286  -0.21433   0.31648   -42.628   -1.7344   **   -1.7215   219.1765 
 -77.000  -0.01872   0.00127   0.01876   176.107  -26.2744   **   0.22545  -0.21846   0.31393   -44.099   -1.8047   **   -1.7892   220.2060 
 -76.000  -0.02019   0.00154   0.02025   175.637  -25.6127   **   0.21750  -0.22289   0.31142   -45.702   -1.8743   **   -1.8560   221.3383 
 -75.000  -0.02167   0.00184   0.02175   175.138  -24.9941   **   0.20902  -0.22760   0.30902   -47.437   -1.9416   **   -1.9202   222.5756 
 -74.000  -0.02315   0.00218   0.02325   174.613  -24.4128   **   0.20003  -0.23260   0.30678   -49.305   -2.0049   **   -1.9800   223.9188 
 -73.000  -0.02463   0.00256   0.02477   174.064  -23.8641   **   0.19053  -0.23786   0.30476   -51.304   -2.0621   **   -2.0335   225.3678 
 -72.000  -0.02612   0.00298   0.02629   173.490  -23.3442   **   0.18055  -0.24338   0.30304   -53.430   -2.1114   **   -2.0788   226.9207 
 -71.000  -0.02762   0.00344   0.02783   172.895  -22.8497   **   0.17010  -0.24915   0.30168   -55.679   -2.1505   **   -2.1137   228.5739 
 -70.000  -0.02912   0.00395   0.02939   172.279  -22.3781   **   0.15918  -0.25516   0.30074   -58.042   -2.1774   **   -2.1361   230.3216 
 -69.000  -0.03063   0.00450   0.03095   171.645  -21.9270   **   0.14783  -0.26140   0.30031   -60.511   -2.1900   **   -2.1441   232.1560 
 -68.000  -0.03213   0.00509   0.03253   170.993  -21.4944   **   0.13605  -0.26786   0.30043   -63.074   -2.1865   **   -2.1358   234.0667 
 -67.000  -0.03364   0.00574   0.03413   170.325  -21.0787   **   0.12386  -0.27452   0.30117   -65.716   -2.1650   **   -2.1096   236.0414 
 -66.000  -0.03516   0.00643   0.03574   169.643  -20.6783   **   0.11128  -0.28138   0.30259   -68.422   -2.1243   **   -2.0641   238.0656 
 -65.000  -0.03667   0.00716   0.03737   168.949  -20.2920   **   0.09833  -0.28842   0.30472   -71.174   -2.0632   **   -1.9984   240.1234 
 -64.000  -0.03819   0.00795   0.03901   168.244  -19.9187   **   0.08503  -0.29563   0.30762   -73.954   -1.9812   **   -1.9119   242.1978 
 -63.000  -0.03970   0.00878   0.04066   167.529  -19.5574   **   0.07139  -0.30300   0.31129   -76.742   -1.8779   **   -1.8044   244.2711 
 -62.000  -0.04122   0.00966   0.04233   166.805  -19.2074   **   0.05744  -0.31051   0.31578   -79.520   -1.7538   **   -1.6764   246.3258 
 -61.000  -0.04273   0.01059   0.04402   166.076  -18.8678   **   0.04319  -0.31815   0.32107   -82.270   -1.6094   **   -1.5285   248.3454 
 -60.000  -0.04424   0.01157   0.04573   165.340  -18.5381   **   0.02866  -0.32591   0.32717   -84.974   -1.4460   **   -1.3619   250.3145 
 -59.000  -0.04574   0.01260   0.04744   164.601  -18.2176   **   0.01388  -0.33377   0.33406   -87.618   -1.2648   **   -1.1781   252.2195 
 -58.000  -0.04724   0.01367   0.04918   163.859  -17.9059   **  -0.00113  -0.34173   0.34173   -90.190   -1.0677   **   -0.9787   254.0490 
 -57.000  -0.04873   0.01479   0.05093   163.115  -17.6026   **  -0.01636  -0.34976   0.35014   -92.678   -0.8565   **   -0.7656   255.7936 
 -56.000  -0.05021   0.01596   0.05269   162.371  -17.3073   **  -0.03178  -0.35785   0.35926   -95.076   -0.6332   **   -0.5408   257.4467 
 -55.000  -0.05169   0.01717   0.05446   161.627  -17.0196   **  -0.04738  -0.36599   0.36905   -97.376   -0.3997   **   -0.3061   259.0034 
