 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000  -30.0000   -8.4230   -9.5701   -9.5701
   -89.000  -30.0000   -8.4271   -9.5536   -9.5946
   -88.000  -30.0000   -8.4391   -9.5449   -9.6273
   -87.000  -30.0000   -8.4591   -9.5437   -9.6682
   -86.000  -30.0000   -8.4868   -9.5496   -9.7172
   -85.000  -30.0000   -8.5219   -9.5621   -9.7744
   -84.000  -30.0000   -8.5640   -9.5807   -9.8394
   -83.000  -30.0000   -8.6125   -9.6046   -9.9120
   -82.000  -30.0000   -8.6670   -9.6331   -9.9918
   -81.000  -30.0000   -8.7267   -9.6653  -10.0784
   -80.000  -30.0000   -8.7907   -9.7000  -10.1710
   -79.000  -30.0000   -8.8579   -9.7362  -10.2689
   -78.000  -30.0000   -8.9274   -9.7725  -10.3711
   -77.000  -30.0000   -8.9976   -9.8075  -10.4767
   -76.000  -30.0000   -9.0672   -9.8395  -10.5843
   -75.000  -30.0000   -9.1345   -9.8670  -10.6925
   -74.000  -30.0000   -9.1978   -9.8882  -10.7995
   -73.000  -30.0000   -9.2550   -9.9012  -10.9036
   -72.000  -30.0000   -9.3043   -9.9042  -11.0027
   -71.000  -30.0000   -9.3434   -9.8953  -11.0945
   -70.000  -29.5711   -9.3703   -9.8730  -11.1768
   -69.000  -29.1199   -9.3829   -9.8355  -11.2469
   -68.000  -28.6874   -9.3794   -9.7816  -11.3026
   -67.000  -28.2716   -9.3580   -9.7102  -11.3413
   -66.000  -27.8712   -9.3172   -9.6206  -11.3609
   -65.000  -27.4849   -9.2561   -9.5124  -11.3594
   -64.000  -27.1116   -9.1741   -9.3855  -11.3353
   -63.000  -26.7504   -9.0708   -9.2405  -11.2874
   -62.000  -26.4003   -8.9467   -9.0779  -11.2153
   -61.000  -26.0607   -8.8023   -8.8988  -11.1189
   -60.000  -25.7310   -8.6389   -8.7046  -10.9988
   -59.000  -25.4105   -8.4578   -8.4968  -10.8560
   -58.000  -25.0989   -8.2607   -8.2769  -10.6922
   -57.000  -24.7955   -8.0494   -8.0466  -10.5091
   -56.000  -24.5002   -7.8261   -7.8078  -10.3091
   -55.000  -24.2125   -7.5926   -7.5620  -10.0943
   -54.000  -23.9321   -7.3509   -7.3109   -9.8671
   -53.000  -23.6589   -7.1029   -7.0561   -9.6299
   -52.000  -23.3925   -6.8504   -6.7990   -9.3849
   -51.000  -23.1329   -6.5949   -6.5408   -9.1341
   -50.000  -22.8797   -6.3380   -6.2827   -8.8796
   -49.000  -22.6329   -6.0810   -6.0257   -8.6230
   -48.000  -22.3923   -5.8249   -5.7708   -8.3658
   -47.000  -22.1578   -5.5709   -5.5188   -8.1095
   -46.000  -21.9294   -5.3198   -5.2702   -7.8551
   -45.000  -21.7068   -5.0723   -5.0257   -7.6036
   -44.000  -21.4901   -4.8290   -4.7858   -7.3558
   -43.000  -21.2791   -4.5905   -4.5509   -7.1126
   -42.000  -21.0738   -4.3572   -4.3212   -6.8743
   -41.000  -20.8741   -4.1295   -4.0972   -6.6415
   -40.000  -20.6800   -3.9076   -3.8790   -6.4146
   -39.000  -20.4914   -3.6917   -3.6667   -6.1938
   -38.000  -20.3082   -3.4820   -3.4606   -5.9794
   -37.000  -20.1305   -3.2787   -3.2606   -5.7714
   -36.000  -19.9581   -3.0818   -3.0670   -5.5701
   -35.000  -19.7910   -2.8914   -2.8796   -5.3756
   -34.000  -19.6292   -2.7074   -2.6985   -5.1878
   -33.000  -19.4726   -2.5300   -2.5238   -5.0068
   -32.000  -19.3212   -2.3591   -2.3554   -4.8325
   -31.000  -19.1749   -2.1947   -2.1933   -4.6650
   -30.000  -19.0337   -2.0367   -2.0374   -4.5042
   -29.000  -18.8976   -1.8851   -1.8877   -4.3500
   -28.000  -18.7665   -1.7399   -1.7442   -4.2025
   -27.000  -18.6404   -1.6009   -1.6068   -4.0615
   -26.000  -18.5192   -1.4682   -1.4755   -3.9269
   -25.000  -18.4029   -1.3416   -1.3501   -3.7988
   -24.000  -18.2914   -1.2211   -1.2307   -3.6769
   -23.000  -18.1848   -1.1067   -1.1171   -3.5613
   -22.000  -18.0829   -0.9982   -1.0094   -3.4519
   -21.000  -17.9857   -0.8956   -0.9073   -3.3485
   -20.000  -17.8933   -0.7988   -0.8110   -3.2512
   -19.000  -17.8055   -0.7078   -0.7203   -3.1598
   -18.000  -17.7223   -0.6225   -0.6351   -3.0743
   -17.000  -17.6437   -0.5428   -0.5555   -2.9947
   -16.000  -17.5696   -0.4688   -0.4814   -2.9208
   -15.000  -17.5001   -0.4003   -0.4126   -2.8527
   -14.000  -17.4350   -0.3373   -0.3493   -2.7902
   -13.000  -17.3744   -0.2797   -0.2913   -2.7333
   -12.000  -17.3182   -0.2277   -0.2386   -2.6820
   -11.000  -17.2664   -0.1810   -0.1912   -2.6363
   -10.000  -17.2189   -0.1396   -0.1491   -2.5961
    -9.000  -17.1758   -0.1037   -0.1122   -2.5614
    -8.000  -17.1370   -0.0731   -0.0805   -2.5322
    -7.000  -17.1025   -0.0478   -0.0540   -2.5085
    -6.000  -17.0723   -0.0278   -0.0328   -2.4903
    -5.000  -17.0463   -0.0132   -0.0168   -2.4776
    -4.000  -17.0246   -0.0039   -0.0059   -2.4703
    -3.000  -17.0071    0.0000   -0.0003   -2.4686
    -2.000  -16.9939   -0.0015    0.0000   -2.4724
    -1.000  -16.9849   -0.0083   -0.0049   -2.4818
     0.000  -16.9800   -0.0206   -0.0152   -2.4968
     1.000  -16.9794   -0.0384   -0.0307   -2.5175
     2.000  -16.9831   -0.0617   -0.0517   -2.5439
     3.000  -16.9909   -0.0906   -0.0781   -2.5761
     4.000  -17.0030   -0.1252   -0.1100   -2.6141
     5.000  -17.0192   -0.1654   -0.1474   -2.6581
     6.000  -17.0398   -0.2115   -0.1905   -2.7081
     7.000  -17.0646   -0.2635   -0.2393   -2.7642
     8.000  -17.0936   -0.3215   -0.2939   -2.8266
     9.000  -17.1269   -0.3856   -0.3544   -2.8954
    10.000  -17.1646   -0.4559   -0.4209   -2.9706
    11.000  -17.2065   -0.5325   -0.4935   -3.0525
    12.000  -17.2529   -0.6157   -0.5724   -3.1411
    13.000  -17.3036   -0.7054   -0.6577   -3.2368
    14.000  -17.3586   -0.8020   -0.7494   -3.3395
    15.000  -17.4182   -0.9056   -0.8479   -3.4497
    16.000  -17.4821   -1.0163   -0.9532   -3.5673
    17.000  -17.5506   -1.1344   -1.0656   -3.6928
    18.000  -17.6236   -1.2601   -1.1851   -3.8263
    19.000  -17.7012   -1.3935   -1.3122   -3.9681
    20.000  -17.7833   -1.5351   -1.4468   -4.1185
    21.000  -17.8701   -1.6850   -1.5894   -4.2778
    22.000  -17.9616   -1.8436   -1.7402   -4.4464
    23.000  -18.0578   -2.0111   -1.8994   -4.6245
    24.000  -18.1587   -2.1880   -2.0674   -4.8127
    25.000  -18.2644   -2.3745   -2.2444   -5.0112
    26.000  -18.3749   -2.5711   -2.4309   -5.2207
    27.000  -18.4904   -2.7782   -2.6272   -5.4415
    28.000  -18.6107   -2.9963   -2.8337   -5.6743
    29.000  -18.7360   -3.2259   -3.0509   -5.9196
    30.000  -18.8663   -3.4676   -3.2792   -6.1782
    31.000  -19.0017   -3.7219   -3.5192   -6.4506
    32.000  -19.1421   -3.9897   -3.7715   -6.7377
    33.000  -19.2877   -4.2715   -4.0367   -7.0403
    34.000  -19.4385   -4.5682   -4.3155   -7.3594
    35.000  -19.5945   -4.8808   -4.6086   -7.6961
    36.000  -19.7558   -5.2101   -4.9170   -8.0514
    37.000  -19.9224   -5.5575   -5.2415   -8.4268
    38.000  -20.0944   -5.9240   -5.5832   -8.8235
    39.000  -20.2718   -6.3111   -5.9433   -9.2432
    40.000  -20.4547   -6.7203   -6.3231   -9.6877
    41.000  -20.6432   -7.1536   -6.7241  -10.1589
    42.000  -20.8372   -7.6128   -7.1480  -10.6589
    43.000  -21.0370   -8.1003   -7.5967  -11.1902
    44.000  -21.2424   -8.6187   -8.0725  -11.7554
    45.000  -21.4538   -9.1711   -8.5778  -12.3573
    46.000  -21.6710   -9.7610   -9.1158  -12.9987
    47.000  -21.8942  -10.3924   -9.6898  -13.6824
    48.000  -22.1235  -11.0700  -10.3041  -14.4108
    49.000  -22.3591  -11.7992  -10.9634  -15.1852
    50.000  -22.6010  -12.5858  -11.6738  -16.0045
    51.000  -22.8494  -13.4366  -12.4424  -16.8631
    52.000  -23.1044  -14.3583  -13.2777  -17.7477
    53.000  -23.3663  -15.3568  -14.1903  -18.6312
    54.000  -23.6352  -16.4344  -15.1932  -19.4663
    55.000  -23.9114  -17.5841  -16.3017  -20.1805
    56.000  -24.1951  -18.7783  -17.5335  -20.6826
    57.000  -24.4867  -19.9470  -18.9058  -20.8903
    58.000  -24.7864  -20.9510  -20.4262  -20.7710
    59.000  -25.0947  -21.5841  -22.0656  -20.3618
    60.000  -25.4119  -21.6669  -23.6854  -19.7472
    61.000  -25.7387  -21.1952  -24.9189  -19.0178
    62.000  -26.0755  -20.3443  -25.2324  -18.2447
    63.000  -26.4229  -19.3220  -24.4847  -17.4736
    64.000  -26.7818  -18.2707  -23.1320  -16.7306
    65.000  -27.1530  -17.2627  -21.6441  -16.0287
    66.000  -27.5374  -16.3272  -20.2386  -15.3732
    67.000  -27.9360  -15.4718  -18.9772  -14.7651
    68.000  -28.3503  -14.6944  -17.8624  -14.2032
    69.000  -28.7816  -13.9896  -16.8790  -13.6853
    70.000  -29.2315  -13.3507  -16.0093  -13.2088
    71.000  -29.7022  -12.7713  -15.2370  -12.7710
    72.000  -30.0000  -12.2456  -14.5484  -12.3693
    73.000  -30.0000  -11.7682  -13.9321  -12.0014
