 [antenna_field.dat]

  É” = 90.000 Åãplane
   --    >>-------   -------   --EÉ”--   -------   -------<< ** >>-------   -------   --EÉ∆--   -------   -------<< ** >>-------   --------<<
 É∆(deg)   FRAD.re   FRAD.im    |FRAD|    FPHASE  FGAI(dB)   **   TRAD.re   TRAD.im    |TRAD|    TPHASE  TGAI(dB)   ** TFGAI(dB)    TPHASE
 -90.000  -0.00000   0.00000   0.00000   100.681  -60.0000   **  -0.02142  -0.00578   0.02219  -164.912  -17.0119   **  -17.0119   265.5932 
 -89.000   0.00441   0.00180   0.00476    22.244  -30.3774   **  -0.02145  -0.00569   0.02219  -165.151  -17.0091   **  -16.8136   187.3949 
 -88.000   0.00882   0.00361   0.00953    22.244  -24.3563   **  -0.02155  -0.00543   0.02222  -165.867  -16.9998   **  -16.2670   188.1109 
 -87.000   0.01323   0.00541   0.01429    22.244  -20.8338   **  -0.02170  -0.00499   0.02227  -167.056  -16.9814   **  -15.4834   189.2996 
 -86.000   0.01764   0.00721   0.01905    22.244  -18.3341   **  -0.02191  -0.00438   0.02235  -168.709  -16.9494   **  -14.5765   190.9527 
 -85.000   0.02205   0.00902   0.02382    22.244  -16.3947   **  -0.02219  -0.00359   0.02248  -170.811  -16.8981   **  -13.6288   193.0553 
 -84.000   0.02646   0.01082   0.02859    22.244  -14.8095   **  -0.02253  -0.00263   0.02268  -173.339  -16.8204   **  -12.6893   195.5833 
 -83.000   0.03088   0.01263   0.03336    22.244  -13.4689   **  -0.02293  -0.00150   0.02298  -176.257  -16.7087   **  -11.7831   198.5010 
 -82.000   0.03530   0.01444   0.03814    22.244  -12.3071   **  -0.02338  -0.00020   0.02339  -179.515  -16.5551   **  -10.9209   201.7591 
 -81.000   0.03972   0.01625   0.04291    22.244  -11.2818   **  -0.02390   0.00127   0.02394   176.949  -16.3530   **  -10.1055  -154.7055 
 -80.000   0.04415   0.01806   0.04770    22.244  -10.3643   **  -0.02448   0.00291   0.02465   173.212  -16.0972   **   -9.3361  -150.9680 
 -79.000   0.04858   0.01987   0.05248    22.244   -9.5339   **  -0.02511   0.00472   0.02555   169.355  -15.7850   **   -8.6099  -147.1112 
 -78.000   0.05301   0.02168   0.05727    22.244   -8.7754   **  -0.02581   0.00669   0.02666   165.463  -15.4168   **   -7.9236  -143.2194 
 -77.000   0.05744   0.02349   0.06206    22.244   -8.0773   **  -0.02656   0.00883   0.02798   161.616  -14.9957   **   -7.2735  -139.3722 
 -76.000   0.06188   0.02531   0.06686    22.244   -7.4306   **  -0.02736   0.01112   0.02954   157.882  -14.5270   **   -6.6564  -135.6382 
 -75.000   0.06633   0.02713   0.07166    22.244   -6.8282   **  -0.02822   0.01357   0.03132   154.315  -14.0180   **   -6.0691  -132.0714 
 -74.000   0.07078   0.02895   0.07647    22.244   -6.2645   **  -0.02914   0.01618   0.03333   150.954  -13.4768   **   -5.5090  -128.7100 
 -73.000   0.07523   0.03077   0.08128    22.243   -5.7347   **  -0.03011   0.01895   0.03557   147.820  -12.9114   **   -4.9735  -125.5768 
 -72.000   0.07968   0.03259   0.08609    22.243   -5.2350   **  -0.03113   0.02186   0.03804   144.925  -12.3295   **   -4.4605  -122.6817 
 -71.000   0.08414   0.03441   0.09091    22.243   -4.7622   **  -0.03220   0.02492   0.04072   142.268  -11.7380   **   -3.9681  -120.0243 
 -70.000   0.08860   0.03624   0.09572    22.243   -4.3135   **  -0.03333   0.02812   0.04361   139.840  -11.1426   **   -3.4945  -117.5968 
 -69.000   0.09306   0.03806   0.10055    22.243   -3.8867   **  -0.03450   0.03147   0.04670   137.629  -10.5482   **   -3.0384  -115.3865 
 -68.000   0.09753   0.03989   0.10537    22.243   -3.4797   **  -0.03572   0.03495   0.04998   135.621   -9.9587   **   -2.5985  -113.3783 
 -67.000   0.10199   0.04171   0.11019    22.243   -3.0908   **  -0.03699   0.03857   0.05344   133.798   -9.3769   **   -2.1735  -111.5556 
 -66.000   0.10646   0.04354   0.11502    22.242   -2.7185   **  -0.03830   0.04232   0.05708   132.144   -8.8051   **   -1.7625  -109.9017 
 -65.000   0.11093   0.04536   0.11985    22.242   -2.3616   **  -0.03965   0.04619   0.06088   130.643   -8.2449   **   -1.3647  -108.4006 
 -64.000   0.11539   0.04719   0.12467    22.242   -2.0188   **  -0.04105   0.05019   0.06484   129.279   -7.6974   **   -0.9791  -107.0371 
 -63.000   0.11986   0.04901   0.12949    22.241   -1.6892   **  -0.04249   0.05430   0.06895   128.039   -7.1635   **   -0.6052  -105.7972 
 -62.000   0.12432   0.05084   0.13431    22.241   -1.3718   **  -0.04396   0.05853   0.07320   126.909   -6.6436   **   -0.2423  -104.6682 
 -61.000   0.12877   0.05266   0.13912    22.240   -1.0659   **  -0.04547   0.06287   0.07759   125.879   -6.1378   **    0.1102  -103.6385 
 -60.000   0.13322   0.05448   0.14393    22.240   -0.7708   **  -0.04702   0.06731   0.08211   124.938   -5.6463   **    0.4527  -102.6979 
 -59.000   0.13767   0.05629   0.14873    22.240   -0.4858   **  -0.04860   0.07185   0.08675   124.077   -5.1690   **    0.7857  -101.8372 
 -58.000   0.14211   0.05810   0.15353    22.239   -0.2104   **  -0.05022   0.07649   0.09150   123.287   -4.7058   **    1.1096  -101.0482 
 -57.000   0.14653   0.05991   0.15831    22.238    0.0560   **  -0.05186   0.08121   0.09636   122.562   -4.2563   **    1.4248  -100.3236 
 -56.000   0.15095   0.06172   0.16308    22.238    0.3139   **  -0.05353   0.08602   0.10132   121.895   -3.8203   **    1.7315   -99.6570 
 -55.000   0.15535   0.06351   0.16783    22.237    0.5635   **  -0.05523   0.09091   0.10637   121.280   -3.3976   **    2.0301   -99.0427 
 -54.000   0.15974   0.06531   0.17257    22.236    0.8054   **  -0.05695   0.09587   0.11151   120.712   -2.9877   **    2.3208   -98.4755 
 -53.000   0.16411   0.06709   0.17729    22.235    1.0399   **  -0.05869   0.10090   0.11673   120.186   -2.5903   **    2.6039   -97.9511 
 -52.000   0.16846   0.06887   0.18200    22.234    1.2673   **  -0.06046   0.10599   0.12202   119.700   -2.2051   **    2.8795   -97.4652 
 -51.000   0.17280   0.07063   0.18668    22.233    1.4878   **  -0.06224   0.11114   0.12738   119.248   -1.8318   **    3.1480   -97.0145 
 -50.000   0.17711   0.07239   0.19133    22.232    1.7017   **  -0.06403   0.11634   0.13280   118.828   -1.4700   **    3.4095   -96.5956 
 -49.000   0.18139   0.07414   0.19596    22.231    1.9094   **  -0.06584   0.12159   0.13827   118.437   -1.1194   **    3.6641   -96.2058 
 -48.000   0.18565   0.07588   0.20056    22.230    2.1109   **  -0.06766   0.12687   0.14379   118.073   -0.7796   **    3.9121   -95.8425 
 -47.000   0.18988   0.07760   0.20513    22.229    2.3064   **  -0.06949   0.13219   0.14934   117.732   -0.4504   **    4.1535   -95.5034 
 -46.000   0.19408   0.07931   0.20966    22.228    2.4963   **  -0.07133   0.13753   0.15493   117.414   -0.1315   **    4.3885   -95.1865 
 -45.000   0.19824   0.08101   0.21416    22.226    2.6806   **  -0.07317   0.14289   0.16054   117.116    0.1775   **    4.6172   -94.8899 
 -44.000   0.20237   0.08269   0.21861    22.225    2.8595   **  -0.07501   0.14827   0.16616   116.837    0.4767   **    4.8398   -94.6120 
 -43.000   0.20646   0.08435   0.22302    22.223    3.0331   **  -0.07686   0.15365   0.17180   116.575    0.7665   **    5.0563   -94.3513 
 -42.000   0.21050   0.08600   0.22739    22.222    3.2015   **  -0.07870   0.15904   0.17744   116.328    1.0471   **    5.2669   -94.1065 
 -41.000   0.21450   0.08762   0.23171    22.220    3.3650   **  -0.08053   0.16441   0.18308   116.096    1.3187   **    5.4716   -93.8762 
 -40.000   0.21846   0.08923   0.23598    22.218    3.5235   **  -0.08236   0.16978   0.18870   115.878    1.5816   **    5.6705   -93.6594 
 -39.000   0.22236   0.09082   0.24019    22.216    3.6772   **  -0.08418   0.17513   0.19431   115.671    1.8359   **    5.8637   -93.4552 
 -38.000   0.22621   0.09238   0.24435    22.214    3.8262   **  -0.08598   0.18045   0.19989   115.477    2.0819   **    6.0514   -93.2625 
 -37.000   0.23001   0.09392   0.24844    22.212    3.9706   **  -0.08777   0.18575   0.20544   115.293    2.3198   **    6.2334   -93.0806 
 -36.000   0.23374   0.09544   0.25248    22.210    4.1104   **  -0.08955   0.19100   0.21095   115.119    2.5496   **    6.4101   -92.9087 
 -35.000   0.23742   0.09693   0.25644    22.208    4.2457   **  -0.09130   0.19621   0.21641   114.954    2.7717   **    6.5813   -92.7461 
 -34.000   0.24103   0.09839   0.26033    22.206    4.3767   **  -0.09304   0.20137   0.22182   114.798    2.9862   **    6.7471   -92.5921 
 -33.000   0.24457   0.09982   0.26416    22.203    4.5032   **  -0.09475   0.20647   0.22717   114.649    3.1931   **    6.9077   -92.4463 
 -32.000   0.24804   0.10123   0.26790    22.201    4.6255   **  -0.09643   0.21151   0.23245   114.509    3.3928   **    7.0630   -92.3079 
