 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00297638   0.00509057   0.00589684       120.31
     2  -0.00342023   0.00480452   0.00589757       125.45
     3  -0.00382530   0.00443785   0.00585896       130.76
     4  -0.00417168   0.00400073   0.00578003       136.20
     5  -0.00445233   0.00350239   0.00566481       141.81
     6  -0.00466059   0.00296471   0.00552364       147.54
     7  -0.00479254   0.00239561   0.00535792       153.44
     8  -0.00484375   0.00199047   0.00523678       157.66
     9  -0.00400860   0.00006500   0.00400913       179.07
    10  -0.00390747  -0.00060621   0.00395421       188.82
    11  -0.00373092  -0.00128782   0.00394693       199.04
    12  -0.00348241  -0.00196612   0.00399910       209.45
    13  -0.00316657  -0.00261497   0.00410673       219.55
    14  -0.00278956  -0.00321935   0.00425979       229.09
    15  -0.00236068  -0.00376459   0.00444353       237.91
    16  -0.00188522  -0.00424426   0.00464412       246.05
    17  -0.00139660  -0.00462944   0.00483551      -106.79
    18  -0.00088300  -0.00493928   0.00501759      -100.14
    19  -0.00034890  -0.00517160   0.00518335       -93.86
    20   0.00019405  -0.00532102   0.00532456       -87.91
    21   0.00073548  -0.00538627   0.00543625       -82.22
    22   0.00126608  -0.00536771   0.00551501       -76.73
    23   0.00176643  -0.00527240   0.00556044       -71.48
    24   0.00225649  -0.00509699   0.00557415       -66.12
    25   0.00271453  -0.00484164   0.00555069       -60.72
    26   0.00312045  -0.00451842   0.00549120       -55.37
    27   0.00349114  -0.00411652   0.00539757       -49.70
    28   0.00380844  -0.00364610   0.00527240       -43.75
    29   0.00406595  -0.00311443   0.00512168       -37.45
    30   0.00425781  -0.00253062   0.00495308       -30.72
    31   0.00438002  -0.00190762   0.00477740       -23.53
    32   0.00443314  -0.00125049   0.00460613       -15.75
    33   0.00440685  -0.00053540   0.00443926        -6.93
    34   0.00429514   0.00018994   0.00429934         2.53
    35   0.00410069   0.00091731   0.00420203        12.61
    36   0.00382685   0.00163003   0.00415954        23.07
    37   0.00347900   0.00231437   0.00417848        33.63
    38   0.00306393   0.00295716   0.00425822        43.98
    39   0.00259193   0.00354436   0.00439097        53.82
    40   0.00206872   0.00406964   0.00456526        63.05
    41   0.00153135   0.00450105   0.00475442        71.21
    42   0.00096704   0.00485902   0.00495431        78.74
    43   0.00038058   0.00514103   0.00515510        85.77
    44  -0.00021524   0.00534069   0.00534502        92.31
    45  -0.00080905   0.00545578   0.00551544        98.44
    46  -0.00139066   0.00548581   0.00565934       104.22
    47  -0.00193881   0.00543605   0.00577145       109.63
    48  -0.00247533   0.00530476   0.00585387       115.01
    49   0.00297638  -0.00509057   0.00589684       -59.69
    50   0.00342023  -0.00480452   0.00589757       -54.55
    51   0.00382530  -0.00443785   0.00585896       -49.24
    52   0.00417168  -0.00400073   0.00578003       -43.80
    53   0.00445233  -0.00350239   0.00566481       -38.19
    54   0.00466059  -0.00296471   0.00552364       -32.46
    55   0.00479254  -0.00239561   0.00535792       -26.56
    56   0.00484375  -0.00199047   0.00523678       -22.34
    57   0.00400860  -0.00006500   0.00400913        -0.93
    58   0.00390747   0.00060621   0.00395421         8.82
    59   0.00373092   0.00128782   0.00394693        19.04
    60   0.00348241   0.00196612   0.00399910        29.45
    61   0.00316657   0.00261497   0.00410673        39.55
    62   0.00278956   0.00321935   0.00425979        49.09
    63   0.00236068   0.00376459   0.00444353        57.91
    64   0.00188522   0.00424426   0.00464412        66.05
    65   0.00139660   0.00462944   0.00483551        73.21
    66   0.00088300   0.00493928   0.00501759        79.86
    67   0.00034890   0.00517160   0.00518335        86.14
    68  -0.00019405   0.00532102   0.00532456        92.09
    69  -0.00073548   0.00538627   0.00543625        97.78
    70  -0.00126608   0.00536771   0.00551501       103.27
    71  -0.00176643   0.00527240   0.00556044       108.52
    72  -0.00225649   0.00509699   0.00557415       113.88
    73  -0.00271453   0.00484164   0.00555069       119.28
    74  -0.00312045   0.00451842   0.00549120       124.63
    75  -0.00349114   0.00411652   0.00539757       130.30
    76  -0.00380844   0.00364610   0.00527240       136.25
    77  -0.00406595   0.00311443   0.00512168       142.55
    78  -0.00425781   0.00253062   0.00495308       149.28
    79  -0.00438002   0.00190762   0.00477740       156.47
    80  -0.00443314   0.00125049   0.00460613       164.25
    81  -0.00440685   0.00053540   0.00443926       173.07
    82  -0.00429514  -0.00018994   0.00429934       182.53
    83  -0.00410069  -0.00091731   0.00420203       192.61
    84  -0.00382685  -0.00163003   0.00415954       203.07
    85  -0.00347900  -0.00231437   0.00417848       213.63
    86  -0.00306393  -0.00295716   0.00425822       223.98
    87  -0.00259193  -0.00354436   0.00439097       233.82
    88  -0.00206872  -0.00406964   0.00456526       243.05
    89  -0.00153135  -0.00450105   0.00475442      -108.79
    90  -0.00096704  -0.00485902   0.00495431      -101.26
    91  -0.00038058  -0.00514103   0.00515510       -94.23
    92   0.00021524  -0.00534069   0.00534502       -87.69
    93   0.00080905  -0.00545578   0.00551544       -81.56
    94   0.00139066  -0.00548581   0.00565934       -75.78
    95   0.00193881  -0.00543605   0.00577145       -70.37
    96   0.00247533  -0.00530476   0.00585387       -64.99
    97   0.00080723  -0.00146381   0.00167164       -61.13
    98   0.00081499  -0.00106071   0.00133765       -52.46
    99   0.00082239  -0.00051770   0.00097177       -32.19
   100   0.00082466   0.00182789   0.00200530        65.72
   101   0.00082239  -0.00051770   0.00097177       -32.19
   102   0.00081499  -0.00106071   0.00133765       -52.46
   103   0.00080723  -0.00146381   0.00167164       -61.13



