 [antenna_pattern.dat]

  É” = 90.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000  -30.0000  -23.4790  -29.4968  -29.4968
   -89.000  -30.0000  -23.4762  -29.0750  -29.5341
   -88.000  -30.0000  -23.4669  -28.3294  -29.2201
   -87.000  -27.3009  -23.4485  -27.3730  -28.6584
   -86.000  -24.8012  -23.4165  -26.3147  -27.9637
   -85.000  -22.8617  -23.3652  -25.2305  -27.2235
   -84.000  -21.2766  -23.2875  -24.1650  -26.4913
   -83.000  -19.9360  -23.1757  -23.1404  -25.7951
   -82.000  -18.7742  -23.0222  -22.1660  -25.1476
   -81.000  -17.7489  -22.8201  -21.2438  -24.5527
   -80.000  -16.8314  -22.5643  -20.3725  -24.0099
   -79.000  -16.0010  -22.2521  -19.5492  -23.5167
   -78.000  -15.2425  -21.8839  -18.7704  -23.0698
   -77.000  -14.5444  -21.4628  -18.0324  -22.6656
   -76.000  -13.8977  -20.9941  -17.3318  -22.3006
   -75.000  -13.2953  -20.4851  -16.6654  -21.9718
   -74.000  -12.7316  -19.9439  -16.0303  -21.6760
   -73.000  -12.2018  -19.3785  -15.4240  -21.4109
   -72.000  -11.7021  -18.7966  -14.8441  -21.1740
   -71.000  -11.2293  -18.2050  -14.2886  -20.9633
   -70.000  -10.7806  -17.6097  -13.7557  -20.7771
   -69.000  -10.3538  -17.0153  -13.2438  -20.6136
   -68.000   -9.9468  -16.4258  -12.7513  -20.4716
   -67.000   -9.5579  -15.8440  -12.2772  -20.3498
   -66.000   -9.1856  -15.2721  -11.8201  -20.2471
   -65.000   -8.8287  -14.7120  -11.3790  -20.1624
   -64.000   -8.4859  -14.1645  -10.9530  -20.0950
   -63.000   -8.1563  -13.6306  -10.5413  -20.0441
   -62.000   -7.8389  -13.1106  -10.1432  -20.0090
   -61.000   -7.5330  -12.6049   -9.7578  -19.9892
   -60.000   -7.2379  -12.1134   -9.3846  -19.9840
   -59.000   -6.9529  -11.6361   -9.0230  -19.9931
   -58.000   -6.6775  -11.1729   -8.6726  -20.0160
   -57.000   -6.4111  -10.7234   -8.3327  -20.0523
   -56.000   -6.1532  -10.2874   -8.0030  -20.1019
   -55.000   -5.9036   -9.8646   -7.6831  -20.1644
   -54.000   -5.6617   -9.4547   -7.3727  -20.2396
   -53.000   -5.4272   -9.0574   -7.0712  -20.3273
   -52.000   -5.1998   -8.6722   -6.7786  -20.4275
   -51.000   -4.9793   -8.2989   -6.4944  -20.5399
   -50.000   -4.7654   -7.9371   -6.2184  -20.6645
   -49.000   -4.5577   -7.5865   -5.9503  -20.8012
