 [antenna_chara1.dat]

 >>---------PARA ---------<< ** >>------- Impedance -------- ------<< ** >>------ Max-Direction Gain(dB) ----<< ** >>---- 0(deg)-Gain(dB) ----<<
         para1         para2 **    Zin.re    Zin.im  VSWR-50  VSWR-75 **    Angle       EƒÆ       EƒÓ   EƒÆ+EƒÓ **       EƒÆ       EƒÓ   EƒÆ+EƒÓ
      0.488449      0.046245 **    115.92   -172.57    7.759    5.434 **   30.000     7.991   -10.259     8.056 **    -9.465   -16.377    -8.660
      0.488449      0.046245 **    115.94   -170.96    7.661    5.368 **   30.000     7.986   -10.244     8.051 **    -9.492   -16.406    -8.688
      0.488449      0.046245 **    115.97   -169.37    7.566    5.303 **   30.000     7.981   -10.228     8.046 **    -9.518   -16.434    -8.713
      0.488449      0.046245 **    116.02   -167.80    7.471    5.238 **   30.000     7.976   -10.209     8.041 **    -9.541   -16.460    -8.738
      0.488449      0.046245 **    116.08   -166.24    7.378    5.175 **   30.000     7.970   -10.189     8.036 **    -9.564   -16.484    -8.760
      0.488449      0.046245 **    116.17   -164.70    7.287    5.112 **   30.000     7.964   -10.166     8.031 **    -9.585   -16.508    -8.782
      0.488449      0.046245 **    116.27   -163.18    7.197    5.051 **   30.000     7.958   -10.141     8.025 **    -9.604   -16.530    -8.802
      0.488449      0.046245 **    116.39   -161.67    7.108    4.990 **   30.000     7.952   -10.114     8.019 **    -9.622   -16.550    -8.820
      0.488449      0.046245 **    116.52   -160.18    7.021    4.930 **   30.000     7.945   -10.084     8.013 **    -9.639   -16.569    -8.837
      0.488449      0.046245 **    116.68   -158.71    6.936    4.872 **   30.000     7.938   -10.053     8.007 **    -9.655   -16.586    -8.853
      0.488449      0.046245 **    116.85   -157.25    6.852    4.814 **   30.000     7.931   -10.019     8.000 **    -9.669   -16.602    -8.868
      0.488449      0.046245 **    117.03   -155.82    6.769    4.757 **   30.000     7.924    -9.982     7.994 **    -9.682   -16.616    -8.881
      0.488449      0.046245 **    117.23   -154.39    6.688    4.701 **   30.000     7.916    -9.943     7.987 **    -9.694   -16.629    -8.893
      0.488449      0.046245 **    117.45   -152.99    6.609    4.646 **   30.000     7.909    -9.902     7.980 **    -9.705   -16.640    -8.904
