 [antenna_chara2.dat]

 >>------------------PARA ---------------<< ** >>------- Impedance -------- ------<< ** >>-------    Max Direction Gain&AR(dB) -----<< ** >>------  0(deg) Gain&AR(dB)  -----<<
         para1         para2          para3          para4          para5          para6          para7  **    Zin.re    Zin.im  VSWR-50  VSWR-75 **      Angle        Er        El       Er+El      AR **         Er         El        Er+El       AR
      0.488449      0.046245      0.250000      0.094677      0.900000      2.030416      0.442204 **    115.92   -172.57    7.759    5.434 **   30.000     5.900     3.981     8.056  19.173 **    -9.772   -15.121    -8.660  10.500
      0.488449      0.046245      0.250000      0.094677      0.901000      2.030416      0.442204 **    115.94   -170.96    7.661    5.368 **   30.000     5.901     3.967     8.051  19.105 **    -9.796   -15.160    -8.688  10.478
      0.488449      0.046245      0.250000      0.094677      0.902000      2.030416      0.442204 **    115.97   -169.37    7.566    5.303 **   30.000     5.902     3.953     8.046  19.036 **    -9.819   -15.196    -8.713  10.458
      0.488449      0.046245      0.250000      0.094677      0.903000      2.030416      0.442204 **    116.02   -167.80    7.471    5.238 **   30.000     5.903     3.938     8.041  18.966 **    -9.841   -15.229    -8.738  10.440
      0.488449      0.046245      0.250000      0.094677      0.904000      2.030416      0.442204 **    116.08   -166.24    7.378    5.175 **   30.000     5.904     3.923     8.036  18.895 **    -9.861   -15.260    -8.760  10.424
      0.488449      0.046245      0.250000      0.094677      0.905000      2.030416      0.442204 **    116.17   -164.70    7.287    5.112 **   30.000     5.905     3.907     8.031  18.823 **    -9.880   -15.289    -8.782  10.410
      0.488449      0.046245      0.250000      0.094677      0.906000      2.030416      0.442204 **    116.27   -163.18    7.197    5.051 **   30.000     5.906     3.891     8.025  18.749 **    -9.899   -15.315    -8.802  10.398
      0.488449      0.046245      0.250000      0.094677      0.907000      2.030416      0.442204 **    116.39   -161.67    7.108    4.990 **   30.000     5.907     3.874     8.019  18.674 **    -9.916   -15.338    -8.820  10.388
      0.488449      0.046245      0.250000      0.094677      0.908000      2.030416      0.442204 **    116.52   -160.18    7.021    4.930 **   30.000     5.908     3.857     8.013  18.598 **    -9.931   -15.360    -8.837  10.380
      0.488449      0.046245      0.250000      0.094677      0.909000      2.030416      0.442204 **    116.68   -158.71    6.936    4.872 **   30.000     5.909     3.840     8.007  18.521 **    -9.946   -15.379    -8.853  10.374
      0.488449      0.046245      0.250000      0.094677      0.910000      2.030416      0.442204 **    116.85   -157.25    6.852    4.814 **   30.000     5.910     3.822     8.000  18.443 **    -9.960   -15.396    -8.868  10.369
      0.488449      0.046245      0.250000      0.094677      0.911000      2.030416      0.442204 **    117.03   -155.82    6.769    4.757 **   30.000     5.911     3.803     7.994  18.363 **    -9.973   -15.411    -8.881  10.365
      0.488449      0.046245      0.250000      0.094677      0.912000      2.030416      0.442204 **    117.23   -154.39    6.688    4.701 **   30.000     5.911     3.784     7.987  18.282 **    -9.985   -15.424    -8.893  10.363
      0.488449      0.046245      0.250000      0.094677      0.913000      2.030416      0.442204 **    117.45   -152.99    6.609    4.646 **   30.000     5.912     3.764     7.980  18.200 **    -9.995   -15.435    -8.904  10.363
      0.488449      0.046245      0.250000      0.094677      0.914000      2.030416      0.442204 **    117.69   -151.60    6.531    4.592 **   30.000     5.913     3.744     7.973  18.117 **   -10.005   -15.445    -8.914  10.363
      0.488449      0.046245      0.250000      0.094677      0.915000      2.030416      0.442204 **    117.94   -150.22    6.455    4.539 **   30.000     5.914     3.724     7.966  18.032 **   -10.014   -15.453    -8.922  10.365
      0.488449      0.046245      0.250000      0.094677      0.916000      2.030416      0.442204 **    118.20   -148.87    6.380    4.488 **   30.000     5.915     3.702     7.958  17.946 **   -10.022   -15.459    -8.930  10.367
      0.488449      0.046245      0.250000      0.094677      0.917000      2.030416      0.442204 **    118.49   -147.53    6.307    4.437 **   30.000     5.916     3.681     7.951  17.859 **   -10.030   -15.464    -8.937  10.371
      0.488449      0.046245      0.250000      0.094677      0.918000      2.030416      0.442204 **    118.79   -146.20    6.235    4.387 **   30.000     5.917     3.659     7.943  17.770 **   -10.036   -15.467    -8.943  10.375
      0.488449      0.046245      0.250000      0.094677      0.919000      2.030416      0.442204 **    119.10   -144.90    6.165    4.338 **   30.000     5.918     3.636     7.935  17.680 **   -10.042   -15.470    -8.947  10.381
      0.488449      0.046245      0.250000      0.094677      0.920000      2.030416      0.442204 **    119.43   -143.61    6.097    4.290 **   30.000     5.919     3.613     7.928  17.589 **   -10.046   -15.471    -8.951  10.386
      0.488449      0.046245      0.250000      0.094677      0.921000      2.030416      0.442204 **    119.77   -142.34    6.030    4.243 **   30.000     5.920     3.589     7.920  17.496 **   -10.051   -15.470    -8.954  10.393
      0.488449      0.046245      0.250000      0.094677      0.922000      2.030416      0.442204 **    120.13   -141.08    5.965    4.197 **   30.000     5.922     3.565     7.911  17.402 **   -10.054   -15.469    -8.957  10.400
      0.488449      0.046245      0.250000      0.094677      0.923000      2.030416      0.442204 **    120.51   -139.84    5.901    4.152 **   30.000     5.923     3.540     7.903  17.307 **   -10.057   -15.467    -8.958  10.407
      0.488449      0.046245      0.250000      0.094677      0.924000      2.030416      0.442204 **    120.90   -138.62    5.839    4.108 **   30.000     5.925     3.514     7.895  17.210 **   -10.059   -15.464    -8.959  10.415
      0.488449      0.046245      0.250000      0.094677      0.925000      2.030416      0.442204 **    121.31   -137.42    5.779    4.065 **   30.000     5.927     3.488     7.887  17.112 **   -10.060   -15.460    -8.960  10.422
      0.488449      0.046245      0.250000      0.094677      0.926000      2.030416      0.442204 **    121.73   -136.23    5.720    4.024 **   30.000     5.928     3.462     7.878  17.012 **   -10.061   -15.456    -8.959  10.430
      0.488449      0.046245      0.250000      0.094677      0.927000      2.030416      0.442204 **    122.16   -135.07    5.663    3.983 **   30.000     5.930     3.434     7.870  16.911 **   -10.061   -15.451    -8.958  10.438
      0.488449      0.046245      0.250000      0.094677      0.928000      2.030416      0.442204 **    122.61   -133.92    5.607    3.943 **   30.000     5.933     3.406     7.861  16.808 **   -10.061   -15.445    -8.957  10.446
      0.488449      0.046245      0.250000      0.094677      0.929000      2.030416      0.442204 **    123.08   -132.78    5.553    3.904 **   30.000     5.935     3.378     7.852  16.704 **   -10.060   -15.439    -8.955  10.454
      0.488449      0.046245      0.250000      0.094677      0.930000      2.030416      0.442204 **    123.56   -131.67    5.500    3.867 **   30.000     5.938     3.349     7.844  16.598 **   -10.059   -15.433    -8.952  10.461
      0.488449      0.046245      0.250000      0.094677      0.931000      2.030416      0.442204 **    124.06   -130.58    5.450    3.830 **   30.000     5.941     3.319     7.835  16.491 **   -10.057   -15.426    -8.949  10.469
      0.488449      0.046245      0.250000      0.094677      0.932000      2.030416      0.442204 **    124.57   -129.50    5.400    3.795 **   30.000     5.944     3.288     7.826  16.382 **   -10.055   -15.419    -8.946  10.476
      0.488449      0.046245      0.250000      0.094677      0.933000      2.030416      0.442204 **    125.09   -128.45    5.353    3.760 **   30.000     5.947     3.257     7.817  16.271 **   -10.052   -15.412    -8.942  10.483
      0.488449      0.046245      0.250000      0.094677      0.934000      2.030416      0.442204 **    125.63   -127.41    5.306    3.727 **   30.000     5.950     3.225     7.808  16.159 **   -10.049   -15.405    -8.938  10.489
      0.488449      0.046245      0.250000      0.094677      0.935000      2.030416      0.442204 **    126.18   -126.40    5.262    3.694 **   30.000     5.954     3.192     7.800  16.045 **   -10.045   -15.398    -8.934  10.495
