 [antenna_current.dat]

     i     Im[i].re     Im[i].im      |Im[i]|   PhaseIm[i] 
     1  -0.00129806   0.00179198   0.00221272       125.92
     2  -0.00156374   0.00157514   0.00221954       134.79
     3  -0.00175393   0.00140507   0.00224733       141.30
     4  -0.00065423  -0.00209741   0.00219708      -107.32
     5  -0.00081652  -0.00227403   0.00241617      -109.75
     6  -0.00096100  -0.00243240   0.00261536      -111.56
     7  -0.00108947  -0.00257259   0.00279377      -112.95
     8  -0.00119866  -0.00268888   0.00294395      -114.03
     9  -0.00128745  -0.00277838   0.00306218      -114.86
    10  -0.00135498  -0.00283873   0.00314553      -115.52
    11  -0.00140075  -0.00286824   0.00319200      -116.03
    12  -0.00142460  -0.00286580   0.00320035      -116.43
    13  -0.00142663  -0.00283082   0.00316999      -116.75
    14  -0.00140722  -0.00276325   0.00310094      -116.99
    15  -0.00136702  -0.00266349   0.00299381      -117.17
    16  -0.00130690  -0.00253245   0.00284978      -117.30
    17  -0.00122800  -0.00237145   0.00267053      -117.38
    18  -0.00113168  -0.00218225   0.00245823      -117.41
    19  -0.00101949  -0.00196700   0.00221551      -117.40
    20  -0.00089322  -0.00172821   0.00194539      -117.33
    21  -0.00075478  -0.00146869   0.00165128      -117.20
    22  -0.00060626  -0.00119156   0.00133692      -116.97
    23  -0.00044986  -0.00090016   0.00100631      -116.55
    24  -0.00028788  -0.00059806   0.00066374      -115.70
    25  -0.00012269  -0.00028894   0.00031391      -113.01
    26   0.00004331   0.00002338   0.00004922        28.36
    27   0.00020770   0.00033504   0.00039420        58.20
    28   0.00036808   0.00064218   0.00074019        60.18
    29   0.00052212   0.00094095   0.00107610        60.97
    30   0.00066753   0.00122761   0.00139737        61.46
    31   0.00080217   0.00149855   0.00169975        61.84
    32   0.00092399   0.00175034   0.00197925        62.17
    33   0.00103111   0.00197974   0.00223217        62.49
    34   0.00112183   0.00218380   0.00245509        62.81
    35   0.00119462   0.00235982   0.00264497        63.15
    36   0.00124819   0.00250544   0.00279915        63.52
    37   0.00128143   0.00261863   0.00291535        63.93
    38   0.00129347   0.00269770   0.00299176        64.38
    39   0.00128365   0.00274133   0.00302698        64.91
    40   0.00125153   0.00274857   0.00302009        65.52
    41   0.00119688   0.00271880   0.00297059        66.24
    42   0.00111964   0.00265177   0.00287845        67.11
    43   0.00101988   0.00254750   0.00274407        68.18
    44   0.00089784   0.00240635   0.00256839        69.54
    45   0.00075346   0.00222844   0.00235237        71.32
    46   0.00058816   0.00201619   0.00210023        73.74
    47   0.00039471   0.00176003   0.00180375        77.36
    48   0.00016069   0.00144746   0.00145635        83.67
    49  -0.00007614   0.00112685   0.00112942        93.87
    50  -0.00034530   0.00076342   0.00083788       114.34
    51  -0.00061101   0.00038930   0.00072449       147.50
    52  -0.00083700   0.00003892   0.00083790       177.34
    53  -0.00105344  -0.00032254   0.00110172       197.02
    54  -0.00122349  -0.00064118   0.00138132      -152.34
    55  -0.00135695  -0.00093273   0.00164661      -145.50
    56  -0.00146184  -0.00120635   0.00189533      -140.47
    57  -0.00153719  -0.00145836   0.00211890      -136.51
    58  -0.00158364  -0.00168733   0.00231409      -133.18
    59  -0.00160164  -0.00189136   0.00247840      -130.26
    60  -0.00159185  -0.00206868   0.00261026      -127.58
    61  -0.00155518  -0.00221769   0.00270864      -125.04
    62  -0.00149273  -0.00233701   0.00277306      -122.57
    63  -0.00140588  -0.00242549   0.00280348      -120.10
    64  -0.00129625  -0.00248231   0.00280038      -117.57
    65  -0.00116569  -0.00250697   0.00276473      -114.94
    66  -0.00101629  -0.00249932   0.00269805      -112.13
    67  -0.00085036  -0.00245955   0.00260241      -109.07
    68  -0.00067038  -0.00238825   0.00248055      -105.68
    69  -0.00047901  -0.00228633   0.00233597      -101.83
    70  -0.00027901  -0.00215511   0.00217310       -97.38
    71  -0.00007327  -0.00199622   0.00199757       -92.10
    72   0.00013526  -0.00181164   0.00181668       -85.73
    73   0.00034362  -0.00160364   0.00164004       -77.91
    74   0.00054883  -0.00137479   0.00148029       -68.24
    75   0.00074797  -0.00112790   0.00135337       -56.45
    76   0.00093819  -0.00086601   0.00127678       -42.71
    77   0.00111676  -0.00059232   0.00126412       -27.94
    78   0.00128109  -0.00031019   0.00131811       -13.61
