 [antenna_pattern.dat]

  É” = 0.000 Åãplane
   É∆(deg)       EÉ”       EÉ∆       ER        EL 
   -90.000  -30.0000  -11.2231  -12.1417  -12.1417
   -89.000  -30.0000  -11.2155  -12.0970  -12.1711
   -88.000  -30.0000  -11.1926  -12.0364  -12.1854
   -87.000  -30.0000  -11.1539  -11.9593  -12.1845
   -86.000  -30.0000  -11.0989  -11.8648  -12.1679
   -85.000  -30.0000  -11.0264  -11.7519  -12.1350
   -84.000  -30.0000  -10.9357  -11.6196  -12.0849
   -83.000  -30.0000  -10.8256  -11.4671  -12.0166
   -82.000  -30.0000  -10.6953  -11.2935  -11.9292
   -81.000  -30.0000  -10.5438  -11.0986  -11.8215
   -80.000  -30.0000  -10.3708  -10.8823  -11.6927
   -79.000  -30.0000  -10.1760  -10.6448  -11.5422
   -78.000  -30.0000   -9.9597  -10.3871  -11.3698
   -77.000  -30.0000   -9.7227  -10.1102  -11.1756
   -76.000  -30.0000   -9.4659   -9.8156  -10.9601
   -75.000  -29.8399   -9.1908   -9.5053  -10.7244
   -74.000  -29.2339   -8.8994   -9.1813  -10.4699
   -73.000  -28.6600   -8.5935   -8.8458  -10.1982
   -72.000  -28.1144   -8.2754   -8.5010   -9.9114
   -71.000  -27.5942   -7.9474   -8.1493   -9.6116
   -70.000  -27.0968   -7.6118   -7.7927   -9.3012
   -69.000  -26.6201   -7.2708   -7.4335   -8.9826
   -68.000  -26.1624   -6.9267   -7.0735   -8.6578
   -67.000  -25.7223   -6.5813   -6.7146   -8.3293
   -66.000  -25.2986   -6.2365   -6.3583   -7.9989
   -65.000  -24.8901   -5.8940   -6.0060   -7.6687
   -64.000  -24.4962   -5.5553   -5.6592   -7.3403
   -63.000  -24.1160   -5.2217   -5.3188   -7.0152
   -62.000  -23.7490   -4.8944   -4.9859   -6.6949
   -61.000  -23.3947   -4.5743   -4.6612   -6.3806
   -60.000  -23.0528   -4.2624   -4.3456   -6.0732
   -59.000  -22.7228   -3.9594   -4.0396   -5.7737
   -58.000  -22.4046   -3.6659   -3.7438   -5.4829
   -57.000  -22.0980   -3.3826   -3.4586   -5.2015
   -56.000  -21.8028   -3.1098   -3.1845   -4.9301
   -55.000  -21.5189   -2.8481   -2.9217   -4.6691
   -54.000  -21.2462   -2.5977   -2.6707   -4.4190
   -53.000  -20.9848   -2.3590   -2.4315   -4.1802
   -52.000  -20.7346   -2.1322   -2.2046   -3.9530
   -51.000  -20.4956   -1.9177   -1.9900   -3.7376
   -50.000  -20.2678   -1.7155   -1.7880   -3.5344
   -49.000  -20.0513   -1.5260   -1.5987   -3.3436
   -48.000  -19.8462   -1.3493   -1.4224   -3.1654
   -47.000  -19.6525   -1.1856   -1.2592   -2.9999
   -46.000  -19.4704   -1.0351   -1.1092   -2.8475
   -45.000  -19.2999   -0.8980   -0.9728   -2.7082
   -44.000  -19.1411   -0.7744   -0.8499   -2.5823
   -43.000  -18.9942   -0.6646   -0.7409   -2.4700
   -42.000  -18.8593   -0.5688   -0.6459   -2.3714
   -41.000  -18.7365   -0.4872   -0.5652   -2.2869
   -40.000  -18.6260   -0.4200   -0.4990   -2.2166
   -39.000  -18.5279   -0.3675   -0.4476   -2.1608
   -38.000  -18.4424   -0.3300   -0.4113   -2.1198
   -37.000  -18.3697   -0.3078   -0.3903   -2.0939
   -36.000  -18.3099   -0.3013   -0.3851   -2.0834
   -35.000  -18.2632   -0.3108   -0.3960   -2.0887
   -34.000  -18.2299   -0.3369   -0.4235   -2.1103
   -33.000  -18.2101   -0.3799   -0.4681   -2.1485
   -32.000  -18.2040   -0.4404   -0.5303   -2.2039
   -31.000  -18.2120   -0.5190   -0.6106   -2.2770
   -30.000  -18.2341   -0.6164   -0.7099   -2.3685
   -29.000  -18.2707   -0.7333   -0.8288   -2.4792
   -28.000  -18.3221   -0.8706   -0.9682   -2.6097
   -27.000  -18.3884   -1.0292   -1.1290   -2.7610
   -26.000  -18.4700   -1.2103   -1.3125   -2.9342
   -25.000  -18.5672   -1.4151   -1.5197   -3.1305
   -24.000  -18.6802   -1.6449   -1.7521   -3.3510
   -23.000  -18.8092   -1.9014   -2.0115   -3.5974
   -22.000  -18.9546   -2.1866   -2.2995   -3.8715
   -21.000  -19.1166   -2.5025   -2.6185   -4.1753
   -20.000  -19.2955   -2.8519   -2.9710   -4.5111
   -19.000  -19.4912   -3.2376   -3.3599   -4.8818
   -18.000  -19.7040   -3.6634   -3.7890   -5.2908
   -17.000  -19.9338   -4.1335   -4.2623   -5.7419
   -16.000  -20.1805   -4.6534   -4.7852   -6.2401
   -15.000  -20.4436   -5.2294   -5.3639   -6.7914
   -14.000  -20.7226   -5.8699   -6.0063   -7.4030
   -13.000  -21.0165   -6.5853   -6.7223   -8.0844
   -12.000  -21.3239   -7.3892   -7.5244   -8.8477
   -11.000  -21.6428   -8.2998   -8.4290   -9.7087
   -10.000  -21.9704   -9.3422   -9.4577  -10.6892
    -9.000  -22.3030  -10.5521  -10.6398  -11.8197
    -8.000  -22.6359  -11.9830  -12.0147  -13.1450
    -7.000  -22.9631  -13.7200  -13.6352  -14.7346
    -6.000  -23.2772  -15.9092  -15.5636  -16.7048
    -5.000  -23.5697  -18.8278  -17.8276  -19.2712
    -4.000  -23.8307  -23.0470  -20.1820  -22.8935
    -3.000  -24.0501  -28.7445  -21.4456  -28.6553
    -2.000  -24.2181  -26.3975  -20.3239  -30.0000
    -1.000  -24.3262  -21.0541  -17.9765  -25.6203
     0.000  -24.3686  -17.4563  -15.6718  -21.0209
     1.000  -24.3430  -14.8719  -13.6993  -17.9561
     2.000  -24.2507  -12.8784  -12.0394  -15.6885
